date,open,high,low,close,volume,source
2019-01-02,831.66998291,844.55999756,829.01000977,838.47998047,333400,yfinance
2019-01-03,838.92999268,850.85998535,834.28997803,845.58001709,361600,yfinance
2019-01-04,851.39001465,856.70001221,832.61999512,835.63000488,383800,yfinance
2019-01-07,834.67999268,835.63000488,816.51000977,822.32000732,495500,yfinance
2019-01-08,830.0,830.0,798.40997314,811.36999512,474700,yfinance
2019-01-09,817.60998535,832.61999512,813.72998047,820.35998535,323900,yfinance
2019-01-10,815.01000977,828.54998779,811.0,827.34002686,305900,yfinance
2019-01-11,822.84002686,829.03997803,817.20001221,822.88000488,296900,yfinance
2019-01-14,823.02001953,829.36999512,813.27001953,826.97998047,356900,yfinance
2019-01-15,826.51000977,831.35998535,819.5,829.58001709,287200,yfinance
2019-01-16,831.73999023,835.07000732,819.84997559,832.96002197,297400,yfinance
2019-01-17,832.58001709,849.0,830.46002197,842.30999756,245900,yfinance
2019-01-18,844.73999023,855.45001221,834.83001709,844.32000732,299700,yfinance
2019-01-22,843.98999023,848.2800293,824.5300293,829.20001221,344900,yfinance
2019-01-23,832.48999023,838.23999023,824.52001953,834.54998779,253700,yfinance
2019-01-24,831.75,836.78997803,811.0300293,814.78997803,341500,yfinance
2019-01-25,818.39001465,822.04998779,805.73999023,814.64001465,319700,yfinance
2019-01-28,812.09002686,821.40997314,803.2800293,819.01000977,274400,yfinance
2019-01-29,818.94000244,831.90002441,814.5,830.65997314,258300,yfinance
2019-01-30,828.91998291,847.13000488,828.85998535,843.16998291,228600,yfinance
2019-01-31,844.66998291,848.44000244,832.61999512,847.34002686,494700,yfinance
2019-02-01,848.0,854.4699707,838.5300293,849.90997314,253900,yfinance
2019-02-04,852.29998779,869.90997314,848.39001465,869.44000244,242700,yfinance
2019-02-05,873.73999023,878.02001953,863.59002686,869.41998291,281400,yfinance
2019-02-06,870.85998535,873.97998047,863.97998047,868.08001709,238800,yfinance
2019-02-07,874.88000488,879.95001221,860.0,878.77001953,316100,yfinance
2019-02-08,873.15997314,889.88000488,868.75,874.08001709,278800,yfinance
2019-02-11,875.38000488,888.86999512,871.33001709,887.90997314,276700,yfinance
2019-02-12,888.54998779,899.98999023,887.91998291,890.90002441,362700,yfinance
