Date,"('Close', 'SPY')","('High', 'SPY')","('Low', 'SPY')","('Open', 'SPY')","('Volume', 'SPY')"
2019-01-02,223.80593872070312,224.72736835312008,220.02187048062882,220.0487067791242,126925200
2019-01-03,218.46527099609375,222.36563825663606,217.98219041027323,222.06147084511196,144140700
2019-01-04,225.782958984375,226.42705742914634,221.11325208488387,221.48897390263343,142628800
2019-01-07,227.5631561279297,228.9676389593125,225.1567348927377,226.05131446565957,103139100
2019-01-08,229.7012176513672,230.1842983290865,227.22324173305432,229.7459630162037,102512600
2019-01-09,230.7747344970703,231.61564162896792,229.18238366653358,230.40795353099523,95006600
2019-01-10,231.58877563476562,231.8392568355287,228.56509216100946,229.2449814061106,96823900
2019-01-11,231.67825317382812,231.70508947195933,229.93381189408592,230.51528322053164,73858100
2019-01-14,230.26478576660156,231.06990195416668,229.37916069032022,229.78170513390126,70908200
2019-01-15,232.90383911132812,233.2169474781809,230.6315989437874,230.64055347725395,85208300
2019-01-16,233.46742248535156,234.35304766189932,233.12747782757188,233.3332136885603,77636700
2019-01-17,235.23870849609375,236.09752480395065,232.5549689599642,232.59971433247924,96118400
2019-01-18,238.36973571777344,238.83493470526588,235.2744971259349,237.0457750313044,127900300
2019-01-22,235.1492462158203,237.1173328055578,233.53901340633362,236.9026423777357,115531200
2019-01-23,235.64126586914062,236.87579034797807,233.18117144550067,236.17801920347108,86030300
2019-01-24,235.76646423339844,236.34796286693012,234.45143100905162,235.46231041761553,59204100
2019-01-25,237.76141357421875,238.58443898655247,235.86490880279874,237.60932299896712,96883400
2019-01-28,235.95436096191406,236.01696079540557,234.1920377820725,235.62337082617444,85613700
2019-01-29,235.64126586914062,236.6610726340007,234.80931321615319,236.09751029838282,66136300
2019-01-30,239.3716278076172,240.21253492262588,236.3926893728271,237.15308758964215,92473700
2019-01-31,241.47393798828125,241.95701876265906,239.0943522557528,239.309069989038,104012100
2019-02-01,241.59022521972656,242.6100593238502,240.80299060610332,241.67073412788216,85782500
2019-02-04,243.28990173339844,243.35252886814231,240.96398891789138,241.63492373195646,60744800
2019-02-05,244.30972290039062,244.61387672404788,243.21833456825289,243.71929701903028,79552800
2019-02-06,243.98768615722656,244.52443949783932,243.25415146881173,244.0324315275162,58347800
2019-02-07,241.6617889404297,242.92312237490376,240.0068109279789,242.37744182669658,95482000
2019-02-08,241.95706176757812,242.0554524666628,239.59535738455463,240.41838302420658,75788900
2019-02-11,242.09112548828125,242.86940536740855,241.56332680359037,242.6099969413012,68021400
2019-02-12,245.2042999267578,245.58000811053353,243.62983092699662,243.70141259084346,72270200
2019-02-13,246.0004425048828,246.84134953696977,245.61577981797595,246.03623333401944,65277200
2019-02-14,245.45477294921875,246.5819520637004,244.1039489183974,244.91801968992252,83234400
2019-02-15,248.1295166015625,248.16530742640353,247.02024673509356,247.22598255202874,97088700
2019-02-19,248.55899047851562,249.21201622764568,247.32446604809505,247.33342058177877,59120800
2019-02-20,249.05995178222656,249.51619619142238,248.02223599489156,248.52319847147984,76610800
2019-02-21,248.1743927001953,248.78270054095805,247.21718555932722,248.42487400523967,64214700
2019-02-22,249.71295166015625,249.90973295511063,248.1563646603763,248.7915085043155,78114600
2019-02-25,250.05294799804688,251.65425356184153,249.97243908819044,251.13540926485206,69030700
2019-02-26,249.87405395507812,250.75072474880014,249.49831840033238,249.70408159702777,56844100
2019-02-27,249.7666778564453,250.1155497637619,248.2279995898932,249.15834287634237,56921600
2019-02-28,249.30148315429688,249.99032704780788,248.97944754206418,249.55196439728053,69268300
2019-03-01,250.85804748535156,251.26954649667508,249.4267145280981,250.87592925092025,78880500
2019-03-04,249.94561767578125,252.15523111262803,247.6554953242816,251.91370436866936,106494600
2019-03-05,249.60560607910156,250.26761358958612,249.05992559250146,250.07080497302118,59114600
2019-03-06,248.09375,249.73084596641513,247.77171444618895,249.72189143423049,75039800
2019-03-07,246.01837158203125,247.78962191252373,245.17746448154068,247.64648588473747,94885100
2019-03-08,245.52642822265625,245.6964006129662,243.7015046115645,244.1666764005929,85795800
2019-03-11,249.08685302734375,249.24787087242785,246.215258921686,246.2420952292,65098900
2019-03-12,250.02601623535156,250.54488763464727,249.4534995503768,249.6413536016529,79667500
2019-03-13,251.68109130859375,252.61146199517697,250.75072062201053,250.91176574305734,80639200
2019-03-14,251.52008056640625,252.12838832842567,251.08174516442332,251.70793469576876,67518400
2019-03-15,252.7626495361328,253.57131202170393,251.88209009768903,252.0707990334898,81309000
2019-03-18,253.6792449951172,253.97577207395662,252.75377010720248,252.97840020058632,62199800
2019-03-19,253.74209594726562,255.50318784032194,252.8525697345642,254.73946761602602,90268100
2019-03-20,252.9783172607422,254.73044238296177,251.87315511285124,253.52642876764455,84609200
2019-03-21,255.83567810058594,256.2399957566535,252.1157911407943,252.1607336052429,79550400
2019-03-22,250.9116973876953,254.99995221393374,250.84879440990014,254.4788227052167,122659300
2019-03-25,250.72296142578125,251.75625366531227,249.46503924632407,250.5702010015468,85575200
2019-03-26,252.59193420410156,253.54436319608845,251.19024521888866,252.47512221855817,68125900
2019-03-27,251.27114868164062,253.16704041325895,249.72569296237506,252.582980392671,72224700
2019-03-28,252.22360229492188,252.6728624031701,250.75004339861144,251.90014817890042,56238500
2019-03-29,253.81393432617188,254.13738835770084,252.6099208410579,253.73307081828966,82186800
2019-04-01,256.8240051269531,257.12053213515975,255.53912787981554,255.8087003800633,77617900
2019-04-02,256.9498596191406,257.18348367932794,256.1591573421968,257.0127626231394,40070400
2019-04-03,257.3540344238281,258.5580475775958,256.7520141366212,258.1626967007591,68243200
2019-04-04,258.0369873046875,258.2885718276397,256.9857341776094,257.67758476056383,48997500
2019-04-05,259.2859802246094,259.33988924285876,258.41441453536396,258.7019475798009,58621700
