name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
CBL & ASSOC PPTYS INC,124830878,213350609,8466294,,
SEADRILL 2021 LTD,G7997W102,194634956,4897709,,
BERRY GLOBAL GROUP INC,08579W103,187302031,2755252,,
NOBLE CORP PLC,G65431127,66195867,1831651,,NE-WT
FIRST FNDTN INC,32026V104,48836089,8152392,,
ARDAGH METAL PACKAGING S A,L02235106,38283381,10154743,,
SUNRUN INC,86771WAB1,20483032,22318000,,RUN
DISH NETWORK CORPORATION,25470MAF6,17301218,20000000,,
SUNRUN INC,86771W105,15500898,858300,,RUN
RUSH STREET INTERACTIVE INC,782011100,10850000,1000000,,
ALLY FINL INC,02005N100,10837155,304500,,
ANYWHERE REAL ESTATE INC,75605Y106,4457319,877425,,
SONDER HOLDINGS INC,83542D110,20640,80000,,
JAWS MUSTANG ACQUISITION COR,G50737124,11550,500000,,
BRIDGER AEROSPACE GRP HLDGS,96812F110,9940,175000,,
BOLT PROJS HLDGS INC,09769B115,4333,166666,,
