name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
UNITY SOFTWARE INC,91332U101,2147206,13991048,,U
DOORDASH INC,25809K105,1192620,8354605,,
PINDUODUO INC,722304102,935105,5263157,,
KE HLDGS INC,482497104,674781,10964911,,
BERKELEY LTS INC,084310101,503701,5633612,,
MEDALLIA INC,584021109,338854,10200307,,
BRIDGEBIO PHARMA INC,10806X102,180956,2544738,,
SUMO LOGIC INC,86646P103,97328,3405460,,
DOUYU INTL HLDGS LTD,25985W105,35083,3172099,,
CORTEXYME INC,22053A107,28901,1040343,,
AIRBNB INC,009066101,16075,109506,,
EVENTBRITE INC,29975E109,762,42102,,
SQUARE INC,852234103,622,2857,,
