name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
BAUSCH HEALTH COS INC,071734107,214358,7164376,,
EAGLE BULK SHIPPING INC,Y2187A143,63371,13779832,,
PG&E CORP,69331C108,60331,5550187,,PCG-PX
DISCOVERY INC,25470F104,46331,1415134,,
VISTRA ENERGY CORP,92840M102,45668,1986448,,
TIM PARTICIPACOES S A,88706P205,37730,1974339,,
NEXSTAR MEDIA GROUP INC,65336K103,33819,288439,,
OI S A,670851500,26342,28057918,,
SLM CORP,78442P106,26235,2944464,,SLMBP
GOLDMAN SACHS GROUP INC,38141G104,20747,90230,,GS-PD
WARRIOR MET COAL INC,93627C101,17605,833160,,
ARCELORMITTAL SA LUXEMBOURG,03938L203,17014,969645,,
HUNTSMAN CORP,447011107,15254,631377,,HUN
BAUSCH HEALTH COS INC,071734907,12757,510300,CALL,
GARRETT MOTION INC,366505105,11986,1199768,,GTX
NATURAL RESOURCE PARTNERS L,63900P608,11271,560450,,
ISHARES TR,464287234,6730,150000,,
ENTERCOM COMMUNICATIONS CORP,293639100,1963,423109,,
PACIFIC DRILLING SA LUXEMBOU,L7257P205,655,160489,,
AMBAC FINL GROUP INC,023139116,397,39906,,
