name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
TABULA RASA HEALTHCARE INC,873379AA9,5144,6189000,,
EXACT SCIENCES CORP,30063PAB1,5087,4976000,,
ASCENDANT DIGITAL ACQUISITION CORP III,G05157121,5075,500000,,
AULT DISRUPTIVE TECHNOLOGIES CORP,05150A203,5065,500000,,
CANNA-GLOBAL ACQUISITION CORP,13767K200,5065,500000,,
JUPITER WELLNESS ACQUISITION CORP,48208E207,5035,500000,,
INDUSTRIAL HUMAN CAPITAL INC,45617P104,4960,500000,,
OAKTREE ACQUISITION CORP II,G6715X111,4946,4666667,CALL,
DIGITAL HEALTH ACQUISITION CORP,253893101,4940,500000,,
SEA LTD,81141RAG5,4817,5211000,,SE
INSMED INC,457669AB5,4754,4367999,,INSM
PINDUODUO INC,722304AC6,4752,5248000,,
TRIP.COM GROUP LTD,22943FAM2,4668,4899000,,TRPCF
XP INC,G98239109,4650,161799,,XP
NEW YORK COMMUNITY BANCORP INC,64944P307,4635,87636,,
FINTECH ECOSYSTEM DEVELOPMENT CORP,318136207,4590,450000,,
WELSBACH TECHNOLOGY METALS ACQUISITION CORP,950415208,4513,450000,,
TWO HARBORS INVESTMENT CORP,90187BAA9,4487,4457000,,TWOD
PEBBLEBROOK HOTEL TRUST,70509VAA8,4434,4009000,,PEB-PH
NUVASIVE INC,670704AL9,4407,4386000,,
KARYOPHARM THERAPEUTICS INC,48576UAA4,4313,5277000,,KPTI
BIOMARIN PHARMACEUTICAL INC,09061GAH4,4300,4103000,,BMRN
DEEP MEDICINE ACQUISITION CORP,243733102,4173,425000,,
FINANCIAL STRATEGIES ACQUISITION CORP,31772T206,4140,400000,,
I3 VERTICALS INC,44933TAB2,4121,4425000,,
ALPHA STAR ACQUISITION CORP,G0230C124,4108,400000,,ALSWF
MOUNT RAINIER ACQUISITION CORP,623006202,4068,400000,,
ENERGEM CORP,G30449113,4060,400000,,
GARDINER HEALTHCARE ACQUISITIONS CORP,365506203,4036,400000,,
INCEPTION GROWTH ACQUISITION LTD,45333D203,4032,400000,,
AROGO CAPITAL ACQUISITION CORP,042644203,4014,400000,,
LIVEPERSON INC,538146AD3,3986,4700000,,LPSN
ICONIC SPORTS ACQUISITION CORP,G4712C107,3972,400000,,
ROC ENERGY ACQUISITION CORP,77118V108,3940,400000,,
SQUARE INC,852234AJ2,3909,3793000,,
