name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
CHARTER COMMUNICATIONS INC N,16119P108,5327252,10444772,,
ALPHABET INC,02079K107,4218458,2984174,,GOOGN
MICROSOFT CORP,594918104,2941827,14455440,,MSFT
CANADIAN PAC RY LTD,13645T100,2862812,11243124,,
VISA INC,92826C839,2166476,11215385,,V
MOODYS CORP,615369105,1866307,6793240,,
CANADIAN NATL RY CO,136375102,1858970,21002370,,
UNION PAC CORP,907818108,1017216,6016539,,
ALPHABET INC,02079K305,876385,618021,,GOOGN
S&P GLOBAL INC,78409V104,798971,2424946,,SPGI
RAYTHEON TECHNOLOGIES CORP,75513E101,711834,11551993,,
UNIVAR SOLUTIONS INC,91336L107,212989,12632780,,
VORNADO RLTY TR,929042109,160067,4189142,,
BOSTON PROPERTIES INC,101121101,139203,1540193,,
MASTERCARD INCORPORATED,57636Q104,28816,97450,,
AMAZON COM INC,023135106,15725,5700,,AMZN
ADOBE INC,00724F101,1493,3430,,ADBE
AUTODESK INC,052769106,1196,5000,,
