name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
CALIFORNIA RES CORP,13057Q305,462578,19573924,,
BAUSCH HEALTH COS INC,071734107,272592,8588292,,
ISHARES INC,464286900,159470,4310000,CALL,
SELECT SECTOR SPDR TR,81369Y906,137500,2500000,CALL,
ISHARES TR,464287952,114600,900000,PUT,
EAGLE BULK SHIPPING INC,Y2187A150,109829,3044151,,
THRYV HLDGS INC,886029206,104660,4472660,,
ISHARES TR,464288513,100257,1150000,,
DENBURY INC,24790A101,84930,1773435,,
VODAFONE GROUP PLC NEW,92857W308,71343,3871023,,
RADIAN GROUP INC,750236101,53578,2304447,,RDN
SLM CORP,78442P106,50388,2804026,,SLMBP
TECK RESOURCES LTD,878742204,41471,2162207,,TCKRF
COMMSCOPE HLDG CO INC,20337X109,41144,2678659,,
PULTE GROUP INC,745867101,38279,729955,,
FREEPORT-MCMORAN INC,35671D857,38148,1158453,,FCX
ONEMAIN HLDGS INC,68268W103,37674,701302,,
VISTRA CORP,92840M102,35824,2026224,,VST
CHESAPEAKE ENERGY CORP,165167735,27856,642000,,
ALTICE USA INC,02156K103,25735,791110,,
FOX CORP,35137L105,22569,625000,,FOX
VODAFONE GROUP PLC NEW,92857W908,19564,1171600,CALL,
COUPANG INC,22266T109,19035,385714,,
NRG ENERGY INC,629377508,17335,459461,,
BERRY GLOBAL GROUP INC,08579W103,16496,268665,,
TIM S A,88706T108,15148,1334658,,
ISHARES INC,464286822,13399,305699,,
ISHARES INC,464286400,12357,369424,,
ISHARES INC,464286780,10975,222248,,
COMCAST CORP NEW,20030N101,10930,202000,,CCZ
NATURAL RESOURCE PARTNERS L,63900P608,9040,560450,,
EDISON INTL,281020107,8586,146522,,
VANECK VECTORS ETF TR,92189F403,6683,258930,,
ISHARES INC,464286772,6249,69660,,
AMC ENTMT HLDGS INC,00165C954,5000,1000000,PUT,
ISHARES TR,46429B598,4482,106270,,
REVOLUTION ACCELERTN ACQU CO,76156P106,3397,335000,,
ISHARES TR,464287234,2197,41186,,
THE ODP CORP,88337F105,362,8354,,
REVOLUTION ACCELERTN ACQU CO,76156P114,221,111666,,
AMBAC FINL GROUP INC,023139116,181,39906,,
OCCIDENTAL PETE CORP,674599162,122,10245,,
