name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
APPLE INC,037833100,6541911,47848968,,AAPL
TESLA INC,88160R101,6468547,9605518,,
MICROSOFT CORP,594918104,5808876,22617591,,MSFT
AMAZON COM INC,023135106,5001823,47093715,,AMZN
LILLY ELI & CO,532457108,3269909,10085153,,
ALPHABET INC,02079K305,3116089,1429884,,GOOGN
ALPHABET INC,02079K107,2712077,1239835,,GOOGN
NVIDIA CORPORATION,67066G104,2552631,16839046,,NVDA
VISA INC,92826C839,2545343,12927743,,V
MASTERCARD INCORPORATED,57636Q104,2379714,7543154,,
SALESFORCE INC,79466L302,2175564,13182039,,
UNITEDHEALTH GROUP INC,91324P102,1874488,3649491,,UNH
DANAHER CORPORATION,235851102,1735821,6846879,,
LAUDER ESTEE COS INC,518439104,1641837,6446919,,
ADOBE SYSTEMS INCORPORATED,00724F101,1625037,4439264,,
COSTCO WHSL CORP NEW,22160K105,1540548,3214298,,
CROWDSTRIKE HLDGS INC,22788C105,1329621,7888117,,
NIKE INC,654106103,1306076,12779609,,
MERCADOLIBRE INC,58733R102,1245416,1955526,,MELI
AIRBNB INC,009066101,1232288,13833492,,
LULULEMON ATHLETICA INC,550021109,1196575,4389332,,LULU
ABBOTT LABS,002824100,1174286,10807966,,
NOVO-NORDISK A S,670100205,1154328,10359220,,
HOME DEPOT INC,437076102,1080092,3938058,,
BROADCOM INC,11135F101,1070503,2203542,,AVGO
AMERICAN TOWER CORP NEW,03027X100,1065637,4169325,,
SCHLUMBERGER LTD,806857108,1013045,28329011,,
ATLASSIAN CORP PLC,G06242104,923730,4929192,,
UBER TECHNOLOGIES INC,90353T100,886019,43304914,,
GOLDMAN SACHS GROUP INC,38141G104,852231,2869270,,GS-PD
TJX COS INC NEW,872540109,787945,14108228,,
META PLATFORMS INC,30303M102,767081,4757089,,
S&P GLOBAL INC,78409V104,753103,2234331,,SPGI
SNOWFLAKE INC,833445109,728692,5240126,,SNOW
MARRIOTT INTL INC NEW,571903202,690232,5074861,,
CHIPOTLE MEXICAN GRILL INC,169656105,688053,526332,,CMG
INTUITIVE SURGICAL INC,46120E602,630532,3141508,,ISRG
DEXCOM INC,252131107,614171,8240591,,DXCM
ARGENX SE,04016X101,566407,1494950,,ARGX
THE TRADE DESK INC,88339J105,545191,13014837,,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,503057,6153595,,
VERTEX PHARMACEUTICALS INC,92532F100,493708,1752043,,
OREILLY AUTOMOTIVE INC,67103H107,462755,732485,,
KKR & CO INC,48251W104,455459,9839251,,
NEXTERA ENERGY INC,65339F101,448013,5783802,,NEE-PS
ALCON AG,H01301128,424310,6075923,,
CONOCOPHILLIPS,20825C104,412411,4592042,,COP
THERMO FISHER SCIENTIFIC INC,883556102,335829,618150,,TMO
ASML HOLDING N V,N07059210,331568,696746,,
CHENIERE ENERGY INC,16411R208,331305,2490452,,
BRISTOL-MYERS SQUIBB CO,110122108,315337,4095291,,
TARGET CORP,87612E106,315263,2232270,,TGT
PALO ALTO NETWORKS INC,697435105,298428,604179,,PANW
DOMINION ENERGY INC,25746U109,297363,3725888,,
HUBSPOT INC,443573100,292590,973191,,HUBS
ASTRAZENECA PLC,046353108,271900,4115326,,AZN
NETFLIX INC,64110L106,252337,1442995,,NFLX
CENTERPOINT ENERGY INC,15189T107,243446,8230096,,CNP
JPMORGAN CHASE & CO,46625H100,223095,1981128,,JPM-PM
TARGA RES CORP,87612G101,221996,3720390,,
ABBVIE INC,00287Y109,217725,1421550,,ABBV
ZOOMINFO TECHNOLOGIES INC,98980F104,211872,6374018,,GTM
AMEREN CORP,023608102,206935,2290117,,AEE
CHUBB LIMITED,H1467J104,194602,989936,,
DLOCAL LTD,G29018101,193631,7376420,,DLO
SNAP INC,83304A106,193524,14739045,,SNAP
LINDE PLC,G5494J103,193263,672148,,LIN
CENTENE CORP DEL,15135B101,192354,2273420,,CNC
NU HLDGS LTD,G6683N103,192188,51386974,,
NEXTERA ENERGY PARTNERS LP,65341B106,188690,2544366,,
HUMANA INC,444859102,181112,386932,,HUM
CROWN HLDGS INC,228368106,180026,1953199,,
CMS ENERGY CORP,125896100,175252,2596330,,CMS-PC
PROCTER AND GAMBLE CO,742718109,175189,1218370,,
PNC FINL SVCS GROUP INC,693475105,174495,1106009,,
SPOTIFY TECHNOLOGY S A,L8681T102,174495,1859686,,
EXELON CORP,30161N101,163965,3617946,,EXC
PEPSICO INC,713448108,162649,975932,,PEP
MCDONALDS CORP,580135101,161693,654946,,MCD
WILLIAMS COS INC,969457100,161487,5174216,,
TRUIST FINL CORP,89832Q109,159130,3355048,,
CHEVRON CORP NEW,166764100,153489,1060151,,CVX
BK OF AMERICA CORP,060505104,152840,4909749,,
MERCK & CO INC,58933Y105,149495,1639739,,
WALMART INC,931142103,149158,1226831,,WMT
METLIFE INC,59156R108,146862,2338939,,MET-PF
ENTERGY CORP NEW,29364G103,146311,1298924,,
QUALCOMM INC,747525103,139975,1095777,,
PERFORMANCE FOOD GROUP CO,71377A103,138429,3010636,,PFGC
HDFC BANK LTD,40415F101,135158,2459217,,HDB
ROBLOX CORP,771049103,131539,4003009,,RBLX
UNION PAC CORP,907818108,129773,608465,,
ICON PLC,G4705A100,126988,586007,,ICLR
XCEL ENERGY INC,98389B100,124930,1765545,,XELLL
GLOBANT S A,L44385109,123272,708462,,
RAYTHEON TECHNOLOGIES CORP,75513E101,122861,1278335,,
PDC ENERGY INC,69327R101,120798,1960685,,
DTE ENERGY CO,233331107,120721,952437,,DTG
ZOETIS INC,98978V103,117687,684662,,ZTS
AMERICAN ELEC PWR CO INC,025537101,117444,1224140,,
ENERGY TRANSFER L P,29273V100,116584,11681759,,
SHOPIFY INC,82509L107,116271,3721854,,SHOP
PG&E CORP,69331C108,114681,11491084,,PCG-PX
HESS CORP,42809H107,110796,1045841,,
MONDELEZ INTL INC,609207105,107779,1735851,,
MARSH & MCLENNAN COS INC,571748102,107219,690619,,
JOHNSON CTLS INTL PLC,G51502105,105864,2211037,,
HORIZON THERAPEUTICS PUB L,G46188101,103765,1300960,,
CONSTELLATION ENERGY CORP,21037T109,96899,1692268,,CEG
APELLIS PHARMACEUTICALS INC,03753U106,96827,2141247,,
LITTELFUSE INC,537008104,96098,378280,,
DEERE & CO,244199105,94990,317194,,DE
ALLIANT ENERGY CORP,018802108,93544,1596040,,LNT
NISOURCE INC,65473P105,92439,3134596,,NI
AXIS CAP HLDGS LTD,G0692U109,91685,1605962,,
PUBLIC SVC ENTERPRISE GRP IN,744573106,91446,1445107,,
SEMPRA,816851109,89498,595580,,SREA
ENVISTA HOLDINGS CORPORATION,29415F104,89006,2309427,,NVST
NXP SEMICONDUCTORS N V,N6596X109,85948,580610,,
LABORATORY CORP AMER HLDGS,50540R409,85771,365978,,
SEAGEN INC,81181C104,84014,474815,,
RENAISSANCERE HLDGS LTD,G7496G103,83111,531500,,
CISCO SYS INC,17275R102,82613,1937454,,
BLACKSTONE INC,09260D107,80482,882186,,BX
OTIS WORLDWIDE CORP,68902V107,79374,1123157,,OTIS
MOLINA HEALTHCARE INC,60855R100,75586,270326,,
QUANTA SVCS INC,74762E102,74297,592769,,
AFFIRM HLDGS INC,00827B106,74179,4107375,,
AGILENT TECHNOLOGIES INC,00846U101,73933,622492,,
DUKE ENERGY CORP NEW,26441C204,72930,680250,,DUK-PA
TRINITY INDS INC,896522109,72817,3006486,,
CIGNA CORP NEW,125523100,70020,265712,,
EVERGY INC,30034W106,68943,1056593,,
SLM CORP,78442P106,68890,4321847,,SLMBP
FORTIVE CORP,34959J108,68427,1258317,,FTV
EVERSOURCE ENERGY,30040W108,67460,798624,,ES
TOWER SEMICONDUCTOR LTD,M87915274,67038,1451656,,TSEM
STRYKER CORPORATION,863667101,66947,336533,,SYK
WILLSCOT MOBIL MINI HLDNG CO,971378104,66522,2051880,,
ENBRIDGE INC,29250N105,65917,1560854,,ENBNF
OASIS PETROLEUM INC,674215207,65702,540090,,
RYAN SPECIALTY HOLDINGS INC,78351F107,64608,1648591,,
MATCH GROUP INC NEW,57667L107,64051,919093,,
WEX INC,96208T104,63569,408641,,WEX
WORKDAY INC,98138H101,63223,452946,,
SBA COMMUNICATIONS CORP NEW,78410G104,62998,196838,,SBAC
LAM RESEARCH CORP,512807108,62008,145507,,LRCX
ACADIA HEALTHCARE COMPANY IN,00404A109,61719,912596,,
FULL TRUCK ALLIANCE CO LTD,35969L108,60817,6712638,,
BIOMARIN PHARMACEUTICAL INC,09061G101,60426,729170,,BMRN
PATTERSON-UTI ENERGY INC,703481101,59916,3801769,,
CITIGROUP INC,172967424,59444,1292532,,C-PR
GENERAL MTRS CO,37045V100,59396,1870163,,
INDEPENDENCE RLTY TR INC,45378A106,59132,2852509,,
GREAT LAKES DREDGE & DOCK CO,390607109,58364,4451827,,
NATIONAL STORAGE AFFILIATES,637870106,57655,1151471,,
AVIENT CORPORATION,05368V106,55054,1373615,,AVNT
LOWES COS INC,548661107,54474,311868,,
SPROUT SOCIAL INC,85209W109,53629,923515,,
IQVIA HLDGS INC,46266C105,52300,241026,,
KANZHUN LIMITED,48553T106,51247,1950047,,
ESSENTIAL UTILS INC,29670G102,50540,1102310,,
PINNACLE FINL PARTNERS INC,72346Q104,50422,697311,,
HENRY JACK & ASSOC INC,426281101,50128,278460,,
ALEXANDRIA REAL ESTATE EQ IN,015271109,49911,344141,,
BRUNSWICK CORP,117043109,49820,762013,,BC-PC
SHIFT4 PMTS INC,82452J109,49453,1495856,,
SUMMIT MATLS INC,86614U100,48674,2089920,,
FERRARI N V,N3167Y103,47395,258311,,
JAZZ PHARMACEUTICALS PLC,G50871105,47228,302725,,JAZZ
HEICO CORP NEW,422806109,46995,358415,,HEI-A
ENPHASE ENERGY INC,29355A107,46676,239068,,
GAMING & LEISURE PPTYS INC,36467J108,46653,1017283,,
KE HLDGS INC,482497104,46109,2568735,,
VALERO ENERGY CORP,91913Y100,45434,427491,,
HALLIBURTON CO,406216101,45032,1435967,,HAL
ZURN WATER SOLUTIONS CORP,98983L108,44813,1645131,,
ISHARES TR,464287614,44616,204006,,
SAIA INC,78709Y105,44563,237038,,SAIA
CONMED CORP,207410101,44213,461703,,CNMD
PROGYNY INC,74340E103,43922,1511956,,
E L F BEAUTY INC,26856L103,43094,1404613,,
GARTNER INC,366651107,42683,176498,,IT
GFL ENVIRONMENTAL INC,36168Q104,42091,1631456,,GFL
ASGN INC,00191U102,41833,463529,,
DIAMONDBACK ENERGY INC,25278X109,41236,340373,,
DARLING INGREDIENTS INC,237266101,41088,687092,,DAR
BANKUNITED INC,06652K103,40975,1151959,,
AMGEN INC,031162100,40772,167580,,AMGN
KONTOOR BRANDS INC,50050N103,40732,1220599,,
ALLEGHANY CORP MD,017175100,40150,48193,,
TWILIO INC,90138F102,39880,475844,,TWLO
CBRE GROUP INC,12504L109,39645,538581,,
KBR INC,48242W106,39539,817093,,
CACTUS INC,127203107,39107,971114,,
TELEDYNE TECHNOLOGIES INC,879360105,39089,104208,,TDY
CATALENT INC,148806102,38908,362645,,
PNM RES INC,69349H107,38674,809422,,
COUSINS PPTYS INC,222795502,38490,1316806,,
AES CORP,00130H105,38318,1823777,,AES
OGE ENERGY CORP,670837103,37886,982521,,OGE
EDISON INTL,281020107,37554,593833,,
RUSH ENTERPRISES INC,781846209,37505,778108,,
SUMMIT HOTEL PPTYS INC,866082100,37408,5145624,,
PAYCOM SOFTWARE INC,70432V102,37087,132394,,
DCP MIDSTREAM LP,23311P100,36979,1250131,,
CLEARWAY ENERGY INC,18539C204,36957,1060763,,
AMETEK INC,031100100,36394,331188,,
BLOOMIN BRANDS INC,094235108,36248,2180992,,
PROLOGIS INC.,74340W103,36221,307872,,
FIRSTENERGY CORP,337932107,35992,937546,,FE
EASTERN BANKSHARES INC,27627N105,35970,1948555,,
PAYCOR HCM INC,70435P102,35838,1378407,,
AMERICAN CAMPUS CMNTYS INC,024835100,35804,555357,,
CENTURY CMNTYS INC,156504300,35523,789927,,
COSTAR GROUP INC,22160N109,35443,586702,,
ENTERPRISE FINL SVCS CORP,293712105,35400,853014,,
HUNT J B TRANS SVCS INC,445658107,35208,223587,,
APOLLO GLOBAL MGMT INC,03769M106,34946,720825,,
MAKEMYTRIP LIMITED MAURITIUS,V5633W109,33939,1321605,,
ENERPAC TOOL GROUP CORP,292765104,33703,1771961,,EPAC
AVANTOR INC,05352A100,33429,1074883,,
WESTERN MIDSTREAM PARTNERS L,958669103,33056,1359773,,
