name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
MICROSOFT CORP,594918104,2124448,15280500,,MSFT
FACEBOOK INC,30303M102,1998253,11221100,,
JD COM INC,47215P106,1490909,52850366,,
APOLLO GLOBAL MGMT INC,03768E105,1424434,37663500,,
ALIBABA GROUP HLDG LTD,01609W102,1301093,7780262,,
AMAZON COM INC,023135106,1222275,704112,,AMZN
TRANSDIGM GROUP INC,893641100,1075704,2066000,,TDG
FIAT CHRYSLER AUTOMOBILES N,N31738102,973503,75173950,,
NETFLIX INC,64110L106,574530,2146813,,NFLX
FLEETCOR TECHNOLOGIES INC,339041105,495298,1727100,,
SUNRUN INC,86771W105,479524,28714000,,RUN
SPOTIFY TECHNOLOGY S A,L8681T102,463111,4062379,,
SEA LTD,81141R100,420874,13598500,,SE
RINGCENTRAL INC,76680R206,410029,3263000,,
SALESFORCE COM INC,79466L302,357405,2407739,,
CARVANA CO,146869102,324252,4912907,,CVNA
TAL EDUCATION GROUP,874080104,322679,9424023,,TAL
NEW ORIENTAL ED & TECH GRP I,647581107,260685,2353600,,
GDS HLDGS LTD,36165L108,229685,5730659,,
ZENDESK INC,98936J101,214777,2947000,,
MERCADOLIBRE INC,58733R102,214704,389500,,MELI
UBER TECHNOLOGIES INC,90353T100,203062,6664323,,
SERVICENOW INC,81762P102,202978,799600,,
ADOBE INC,00724F101,197243,714000,,ADBE
NEW RELIC INC,64829B100,179434,2920000,,
SMARTSHEET INC,83200N103,159198,4418474,,
MASTERCARD INC,57636Q104,149164,549932,,MA
TWILIO INC,90138F102,118647,1079000,,TWLO
DESPEGAR COM CORP,G27358103,104784,9256550,,
MONGODB INC,60937P106,104692,868955,,
8X8 INC NEW,282914100,98006,4730000,,
ZOOM VIDEO COMMUNICATIONS IN,98980L101,91440,1200000,,
ATLASSIAN CORP PLC,G06242104,76017,606001,,
PINDUODUO INC,722304102,69997,2172470,,
ELASTIC N V,N14506104,60767,738000,,
WAYFAIR INC,94419L101,57181,510000,,W
ANAPLAN INC,03272L108,56729,1207000,,
STONECO LTD,G85158106,50491,1451729,,STNE
SVMK INC,78489X103,39437,2306271,,
SWITCH INC,87105L104,38581,2470000,,
TENCENT MUSIC ENTMT GROUP,88034P109,34479,2700000,,
SLACK TECHNOLOGIES INC,83088V102,28501,1201063,,
VISA INC,92826C839,28038,163000,,V
BEYOND MEAT INC,08862E109,26009,175000,,
LINX S A,53619W101,25896,3350000,,
WORKDAY INC,98138H101,22095,130000,,
SHOPIFY INC,82509L107,21816,70000,,SHOP
ZTO EXPRESS CAYMAN INC,98980A105,21211,994400,,
BARCLAYS BK PLC,06746P621,20929,881575,,
CHEWY INC,16679L109,19664,800000,,
DOCUSIGN INC,256163106,18576,300000,,
PURE STORAGE INC,74624M102,16940,1000000,,
REDFIN CORP,75737F108,16655,988992,,
IQIYI INC,46267X108,16130,1000000,,
DATADOG INC,23804L103,15260,450000,,
CROWDSTRIKE HLDGS INC,22788C105,14578,250000,,
FASTLY INC,31188V100,9600,400000,,
DYNATRACE INC,268150109,9335,500000,,
HUYA INC,44852D108,8558,362000,,HUYA
CERIDIAN HCM HLDG INC,15677J108,8393,170000,,
AVALARA INC,05338G106,6729,100000,,
OKTA INC,679295105,5908,60000,,
LIVONGO HEALTH INC,539183103,4360,250000,,
FARFETCH LTD,30744W107,4320,500000,,
PAGERDUTY INC,69553P100,4238,150000,,
RISE ED CAYMAN LTD,76761L102,4185,500000,,
DROPBOX INC,26210C104,4034,200000,,
SOLARWINDS CORP,83417Q105,3690,200000,,
TENABLE HLDGS INC,88025T102,3357,150000,,
DOUYU INTERNATIONAL HLDNGS L,25985W105,3276,400000,,
CLOUDFLARE INC,18915M107,3250,175000,,
FIREEYE INC,31816Q101,2668,200000,,
ONESMART INTL ED GROUP LTD,68276W103,2365,320000,,
FITBIT INC,33812L102,1905,500000,,
HEALTH CATALYST INC,42225T107,1582,50000,,
THE REALREAL INC,88339P101,1565,70000,,
BILIBILI INC,090040106,1412,100000,,BLBLF
MEDALLIA INC,584021109,1372,50000,,
SUNLANDS TECHNOLOGY GROUP,86740P108,885,300000,,STG
PENNEY J C CORP INC,708160106,756,850000,,
SOGOU INC,83409V104,741,150000,,
LENDINGCLUB CORP,52603A208,719,55000,,
CLOUDERA INC,18914U100,443,50000,,
FARMLAND PARTNERS INC,31154R109,297,44502,,FPI
