name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
BROOKFIELD CORP,11271J107,2415946008,59697208,,
AMAZON COM INC,023135106,2385104083,11451981,,AMZN
UBER TECHNOLOGIES INC,90353T100,2154934398,29958771,,
MICROSOFT CORP,594918104,2092970053,5654078,,MSFT
RESTAURANT BRANDS INTL INC,76131D103,1673501194,22645483,,
META PLATFORMS INC,30303M102,1522358404,2660861,,
HOWARD HUGHES HOLDINGS INC,44267T102,1192581569,18852064,,HHH
SEAPORT ENTMT GROUP INC,812215200,107910794,5023780,,
ALPHABET INC,02079K107,89421720,311726,,GOOGN
HERTZ GLOBAL HLDGS INC,42806J700,70261595,15241127,,
ALPHABET INC,02079K305,9310043,32376,,GOOGN
