name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
TORM PLC,G89479102,1543419511,51006538,,TRMD
CHESAPEAKE ENERGY CORP,165167735,538585161,7000067,,
GARRETT MOTION INC,366505105,426280830,44082816,,GTX
SITIO ROYALTIES CORP,82983N108,304104671,12935120,,
STATE STREET CORP,78462F103,249537750,525000,PUT,STT-PG
RUNWAY GROWTH FINANCE CORP,78163D100,208131159,16492167,,RWAYI
SPDR S&P OIL & GAS EXPLORATION & PRODUCTION ETF,78468R556,163607450,1195000,PUT,
VALE SA,91912E105,149082207,9399887,,
NMI HOLDINGS INC,629209305,138986186,4682823,,
STAR BULK CARRIERS CORP,Y8162K204,129855718,6107983,,SBLK
FREEPORT-MCMORAN INC,35671D857,124215556,2917913,,FCX
BANCO BRADESCO SA,059460303,120156907,34330544,,
INFINERA CORP,45667G103,119583074,25175384,,
SUNOPTA INC,8676EP108,113371909,20726126,,
ANGLOGOLD ASHANTI PLC,G0378L100,109802834,5874951,,AU
CEMEX SAB DE CV,151290889,108414998,13989032,,CXMSF
CBL & ASSOCIATES PROPERTIES INC,124830878,97979340,4012257,,CBL
CATERPILLAR INC,149123101,88701000,300000,PUT,CAT
PETROLEO BRASILEIRO SA,71654V408,76122681,4766605,,
KILROY REALTY CORP,49427F108,73704438,1850011,,KRC
ICICI BANK LTD,45104G104,72303596,3032869,,IBN
EAGLE BULK SHIPPING INC,269442AA7,71493922,40495000,,
VISTA ENERGY SAB DE CV,92837L109,70727030,2396714,,
ITAU UNIBANCO HOLDING SA,465562106,63759800,9174072,,
INFOSYS LTD,456788108,63484134,3453979,,INFY
JD.COM INC,47215P106,62775023,2172898,,
ALVOTECH SA,L01800108,62576285,5450896,,
FTAI AVIATION LTD,G3730V105,54151630,1167061,,FTAIM
LIBERTY GLOBAL LTD,G61188101,48529870,2731000,,LBTYK
AMERICA MOVIL SAB DE CV,02390A101,42574850,2298858,,
TERNIUM SA,880890108,40696325,958237,,
OAKTREE SPECIALTY LENDING CORP,67401P405,37827151,1852456,,OCSL
H WORLD GROUP LTD,44332N106,36476184,1090795,,HWLDF
CABLE ONE INC,12685JAE5,31868836,37339000,,
BATTALION OIL CORP,07134L107,28925254,3009912,,BATL
BERRY CORP,08579X101,25989910,3697000,,
SMARTRENT INC,83193G107,23941891,7505294,,
SPOTIFY TECHNOLOGY SA,84921RAB6,22850572,25893000,,
MAGNACHIP SEMICONDUCTOR CORP,55933J203,21373935,2849858,,MX
REDWOOD TRUST INC,749772AD1,21367963,22747000,,RWTS
ALARM.COM HOLDINGS INC,011642AB1,20926320,23460000,,
PERFICIENT INC,71375UAF8,20675042,24817000,,
TRANSPORTADORA DE GAS DEL SUR SA,893870204,20048181,1328574,,
UNITI GROUP INC,91325V108,19638081,3397592,,UNIT
PEBBLEBROOK HOTEL TRUST,70509VAA8,19412130,21675000,,PEB-PH
TPI COMPOSITES INC,87266J104,19046657,4600642,,
AFFIRM HOLDINGS INC,00827BAB2,18605772,22621000,,
CHEESECAKE FACTORY INC/THE,163072AA9,17790690,20508000,,
TELECOM ARGENTINA SA,879273209,17547215,2454156,,TCMFF
NUVASIVE INC,670704AJ4,17466615,18934000,,
BLACKSTONE MORTGAGE TRUST INC,09257WAE0,17280012,18937000,,
TRIPADVISOR INC,896945AD4,16789646,19051000,,
MGIC INVESTMENT CORP,552848103,16705140,866000,,MTG
MICROSTRATEGY INC,594972AE1,16523536,18897000,,
JETBLUE AIRWAYS CORP,477143AP6,16370327,22580000,,JBLU
KAMAN CORP,483548AF0,16232775,16649000,,
SNAP INC,83304AAH9,15898974,20202000,,SNAP
COINBASE GLOBAL INC,19260QAB3,15609505,17142000,,
PENNYMAC MORTGAGE INVESTMENT TRUST,70932AAD5,15327125,15700000,,PMT-PC
AZUL SA,05501U106,15318436,1580850,,AZUXY
SEA LTD,81141RAG5,14986025,18110000,,SE
STAR HOLDINGS,85512G106,14980000,1000000,,STHO
NEW MOUNTAIN FINANCE CORP,647551AE0,14819701,14522000,,NMFCZ
DIGITALOCEAN HOLDINGS INC,25402DAB8,14563434,17559000,,
FIRST MAJESTIC SILVER CORP,32076VAD5,14539211,18609000,,AG
PAMPA ENERGIA SA,697660207,14235762,287475,,
EURONET WORLDWIDE INC,298736AL3,14205240,15032000,,
OCWEN FINANCIAL CORP,675746606,13873652,451029,,
HAEMONETICS CORP,405024AB6,13678284,15283000,,HAE
LYFT INC,55087PAB0,13533184,14223000,,
LUMENTUM HOLDINGS INC,55024UAF6,13248487,16730000,,LITE
WAYFAIR INC,94419LAF8,12180494,13873000,,W
CRACKER BARREL OLD COUNTRY STORE INC,22410JAB2,12116071,13986000,,
EVENTBRITE INC,29975EAD1,12086364,14230000,,
EZCORP INC,302301AE6,11944827,12733000,,EZPW
DISH NETWORK CORP,25470MAF6,11871875,18995000,,
TELADOC HEALTH INC,87918AAF2,11749422,14209000,,
ALVOTECH SA,L01800116,11666667,4666667,,
MFA FINANCIAL INC,55272XAA0,11094177,11039000,,
TURNING POINT BRANDS INC,90041LAE5,11003820,11286000,,
VALLEY NATIONAL BANCORP,919794107,10860000,1000000,PUT,VLYPN
MESA LABORATORIES INC,59064RAA7,10656266,11544000,,
TECHTARGET INC,87874RAD2,10450025,12515000,,
BAUSCH HEALTH COS INC,071734107,10426000,1300000,,
HERTZ GLOBAL HOLDINGS INC,42806J700,10390000,1000000,,
CHEGG INC,163092AF6,9663455,11573000,,
BLACKLINE INC,09239BAD1,9662205,10826000,,
FORD MOTOR CO,345370CZ1,9468999,9469000,,F-PD
HIMS & HERS HEALTH INC,433000106,9373604,1053214,,
ALIBABA GROUP HOLDING LTD,01609W102,9322205,120271,,BBAAY
UNITY SOFTWARE INC,91332UAB7,9292976,11116000,,U
ARBOR REALTY TRUST INC,038923BA5,9089480,8920000,,ABR-PF
WAYFAIR INC,94419LAM3,9031750,9925000,,W
8X8 INC,282914AB6,8858829,8949000,,
CERIDIAN HCM HOLDING INC,15677JAD0,8621582,9553000,,
INNOVIVA INC,45781MAD3,8115120,9248000,,
ATLANTICA SUSTAINABLE INFRASTRUCTURE JERSEY LTD,04916EAB0,7936722,8277000,,
AKAMAI TECHNOLOGIES INC,00971TAL5,7817196,6989000,,AKAM
BIOMARIN PHARMACEUTICAL INC,09061GAH4,7773382,7867000,,BMRN
ENVESTNET INC,29404KAG1,7751574,7820000,,
CLOUDFLARE INC,18915MAC1,7616180,8446000,,
UPSTART HOLDINGS INC,91680MAB3,7563273,10272000,,
FIVERR INTERNATIONAL LTD,33835LAA3,7464529,8358000,,FVRR
SUMMIT HOTEL PROPERTIES INC,866082AA8,7272857,8158000,,
BILIBILI INC,090040AF3,7211312,7775000,,BLBLF
REDFIN CORP,75737FAE8,7137894,11034000,,
LIBERTY BROADBAND CORP,530307305,7011249,86999,,LBRDP
NUTANIX INC,67059NAH1,6750700,6460000,,
SHAKE SHACK INC,819047AB7,6542556,7971000,,SHAK
JOYY INC,98426TAF3,6458868,6714000,,JOYY
IQIYI INC,46267XAE8,6427062,6575000,,
NRG ENERGY INC,629377CG5,6202320,4808000,,
LIBERTY MEDIA CORP-LIBERTY FORMULA ONE,531229AQ5,5935102,5822000,,
PONO CAPITAL THREE INC,G71704103,5894100,555000,,
AIR TRANSPORT SERVICES GROUP INC,00922RAB1,5850158,6068000,,
COHERUS BIOSCIENCES INC,19249HAB9,5845489,10306000,,
SOLAREDGE TECHNOLOGIES INC,83417MAD6,5650077,6179000,,
MARRIOTT VACATIONS WORLDWIDE CORP,57164YAF4,5191122,5836000,,VAC
8X8 INC,282914AE0,5078886,5858000,,
ITRON INC,465741AN6,5010272,5413000,,
Q2 HOLDINGS INC,74736LAF6,4911960,5439000,,
FINTECH ECOSYSTEM DEVELOPMENT CORP,318136108,4857660,450000,,
ETSY INC,29786AAJ5,4837354,4190000,,ETSY
LIVEPERSON INC,538146AB7,4822350,4946000,,LPSN
HNR ACQUISITION CORP,40472A102,4652305,425000,,
ANYWHERE REAL ESTATE INC,75606DAP6,4410180,5591000,,
BRIDGEBIO PHARMA INC,10806XAD4,4282501,5027000,,
ACCOLADE INC,00437EAB8,4278420,5004000,,
BLOCK INC,852234AF0,4185839,4263000,,
H WORLD GROUP LTD,44332NAB2,4180007,3892000,,HWLDF
ETSY INC,29786AAN6,3973738,4948000,,ETSY
ENPHASE ENERGY INC,29355AAH0,3820636,4171000,,
FEUTUNE LIGHT ACQUISITION CORP,31561T102,3621350,335000,,
OMNICELL INC,68213NAD1,3459796,3753000,,
CHEFS WAREHOUSE INC/THE,163086AB7,3408542,3487000,,
SHIFT4 PAYMENTS INC,82452JAD1,3291329,3513000,,
SHIFT4 PAYMENTS INC,82452JAB5,3287480,2950000,,
SEA LTD,81141RAF7,3286897,3431000,,SE
SEMTECH CORP,816850AF8,3236877,3766000,,SMTC
ZILLOW GROUP INC,98954MAG6,3089250,2250000,,
NIO INC,62914VAF3,3086600,3355000,,NIOIF
ZSCALER INC,98980GAB8,3041000,2000000,,
GLOBAL STAR ACQUISITION INC,37962G102,2970800,280000,,
CONMED CORP,207410AH4,2812320,2800000,,CNMD
NEOGENOMICS INC,64049MAB6,2791541,3648000,,NEO
I3 VERTICALS INC,44933TAB2,2700861,2879000,,
PONO CAPITAL TWO INC,73245B107,2683750,250000,,
SNAP INC,83304AAB2,2666875,2500000,,SNAP
EXPEDIA GROUP INC,30212PBE4,2584409,2719000,,
PDD HOLDINGS INC,722304AC6,2581374,2500000,,PDD
ALNYLAM PHARMACEUTICALS INC,02043QAB3,2468750,2500000,,
ALTERYX INC,02156BAD5,2450770,2512000,,
AQUARON ACQUISITION CORP,03842W105,2403000,225000,,
NORWEGIAN CRUISE LINE HOLDINGS LTD,62886HBD2,2295250,2500000,,NCLH
BILL HOLDINGS INC,090043AB6,2217936,2352000,,
TYLER TECHNOLOGIES INC,902252AB1,2128350,2100000,,TYL
HALOZYME THERAPEUTICS INC,40637HAF6,2095875,2250000,,
GLOBAL LIGHTS ACQUISITION CORP,G3937F127,2050000,200000,,
SAREPTA THERAPEUTICS INC,803607AD2,2033800,2000000,,
AMERICAN AIRLINES GROUP INC,02376RAF9,2002500,1800000,,AAL
BENTLEY SYSTEMS INC,08265TAD1,2001387,2225000,,BSY
DOCUSIGN INC,256163AD8,1900044,1900000,,
DATADOG INC,23804LAB9,1891350,1350000,,
TMT ACQUISITION CORP,G89229119,1845375,175000,,
