name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
SPDR S&P 500 ETF TR,78462F103,448854000,1050000,PUT,
SENTINELONE INC,81730H109,166358514,9867053,,
GINKGO BIOWORKS HOLDINGS INC,37611X100,126436813,69854593,,
FRONTIER COMMUNICATIONS PARE,35909D109,80183479,5123545,,
ROIVANT SCIENCES LTD,G76279101,56445259,4832642,,ROIV
SWEETGREEN INC,87043Q108,40246417,3425227,,
CONSOLIDATED COMM HLDGS INC,209034107,13040091,3812892,,
THE REALREAL INC,88339PAD3,7110190,15097000,,
SOUNDHOUND AI INC,836100107,6427512,3197767,,
ARDAGH METAL PACKAGING S A,L02235106,3912500,1250000,,
DISH NETWORK CORPORATION,25470MAB5,3625589,6000000,,
LIBERTY MEDIA CORP DEL,530715AL5,2846439,11440000,,FWONB
KATAPULT HOLDINGS INC,485859201,1075569,105036,,
LIBERTY MEDIA CORP DEL,530715AG6,759588,3100000,,FWONB
LENDINGTREE INC,52603BAD9,569626,719000,,
ARDAGH METAL PACKAGING S A,L02235114,143157,1245385,,
GINKGO BIOWORKS HOLDINGS INC,37611X118,11250,50000,,
