name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
SPDR S&P 500 ETF TR,78462F103,3048100000,5312500,PUT,
INVESCO EXCHANGE TRADED FD T,46137V357,788304000,4400000,PUT,
IQVIA HLDGS INC,46266C105,751451539,3171083,,
EXELIXIS INC,30161Q104,659402475,25410500,,
UNITEDHEALTH GROUP INC,91324P102,641920172,1097900,,UNH
MICROSOFT CORP,594918104,631141234,1466747,,MSFT
AON PLC,G0403H108,590258940,1706000,,AON
NATERA INC,632307104,578550378,4557309,,
TRANSUNION,89400J107,573265899,5475319,,TRU
DISNEY WALT CO,254687106,560746146,5829568,,
SALESFORCE INC,79466L302,559719980,2044938,,
REVOLUTION MEDICINES INC,76155X100,513257332,11317692,,
NEW YORK TIMES CO,650111107,486825577,8744846,,NYT
BOSTON SCIENTIFIC CORP,101137107,454670057,5425657,,BSX
ARAMARK,03852U106,450698570,11636937,,ARMK
THERMO FISHER SCIENTIFIC INC,883556102,438848198,709456,,TMO
ALPHABET INC,02079K107,403018183,2410540,,GOOGN
WABTEC,929740108,401965814,2211398,,
INTUIT,461202103,391662837,630697,,
CBRE GROUP INC,12504L109,369755392,2970400,,
ANALOG DEVICES INC,032654105,338833257,1472100,,ADI
LANTHEUS HLDGS INC,516544103,324336163,2955227,,
SAREPTA THERAPEUTICS INC,803607100,322216200,2580000,,
AIRBNB INC,009066101,300691872,2371200,,
ISHARES TR,464287556,291200000,2000000,PUT,
NASDAQ INC,631103108,274683406,3762271,,
SERVICENOW INC,81762P102,263889770,295050,,
PROTAGONIST THERAPEUTICS INC,74366E102,263745270,5861006,,
AGIOS PHARMACEUTICALS INC,00847X104,251512276,5660866,,
MASTERCARD INCORPORATED,57636Q104,250194140,506671,,
S&P GLOBAL INC,78409V104,245567051,475334,,SPGI
MODERNA INC,60770K107,233905000,3500000,PUT,
ISHARES TR,464287655,220890000,1000000,PUT,
SHERWIN WILLIAMS CO,824348106,212189437,555950,,SHW
VISA INC,92826C839,206765150,752010,,V
BEAM THERAPEUTICS INC,07373V105,201099014,8208123,,BEAM
WOODWARD INC,980745103,197922540,1154000,,
NEW ORIENTAL ED & TECHNOLOGY,647581206,192148224,2533600,,
STERICYCLE INC,858912108,191906000,3146000,,
FULL TRUCK ALLIANCE CO LTD,35969L108,186196587,20665548,,
SOUTHWESTERN ENERGY CO,845467109,184810934,25993099,,
BIOHAVEN LTD,G1110E107,182020172,3642589,,BHVN
MASIMO CORP,574795100,167804205,1258563,,
HOWMET AEROSPACE INC,443201108,151812485,1514339,,HWM
