name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
SHOPIFY INC,82509L107,2032179,1795290,,SHOP
COUPA SOFTWARE INC,22266L106,1430439,4220706,,
MICROSOFT CORP,594918104,1404025,6312495,,MSFT
GLOBAL PMTS INC,37940X102,1363828,6331020,,
NETFLIX INC,64110L106,1325935,2452120,,NFLX
UNITEDHEALTH GROUP INC,91324P102,1115169,3180020,,UNH
ADOBE SYSTEMS INCORPORATED,00724F101,1010611,2020738,,
MERCADOLIBRE INC,58733R102,1000292,597111,,MELI
SNAP INC,83304A106,976895,19510587,,SNAP
L BRANDS INC,501797104,976799,26265094,,
FACEBOOK INC,30303M102,976696,3575546,,
MASTERCARD INCORPORATED,57636Q104,970662,2719397,,
SQUARE INC,852234103,913963,4199424,,
DOCUSIGN INC,256163106,901665,4056072,,
DEXCOM INC,252131107,838454,2267809,,DXCM
AMAZON COM INC,023135106,837441,257126,,AMZN
ATLASSIAN CORP PLC,G06242104,800565,3423119,,
MATCH GROUP INC NEW,57667L107,796330,5267083,,
DATADOG INC,23804L103,697950,7090101,,
AUTODESK INC,052769106,675559,2212480,,
SERVICENOW INC,81762P102,666343,1210586,,
HUMANA INC,444859102,618809,1508296,,HUM
CARVANA CO,146869102,586457,2448265,,CVNA
STONECO LTD,G85158106,534441,6368457,,STNE
BILIBILI INC,090040106,514674,6004127,,BLBLF
FARFETCH LTD,30744W107,514600,8064560,,
NUANCE COMMUNICATIONS INC,67020Y100,397242,9009792,,
FIDELITY NATL INFORMATION SV,31620M106,396075,2799907,,
BILL COM HLDGS INC,090043100,377929,2768707,,
DOORDASH INC,25809K105,322177,2256931,,
MONGODB INC,60937P106,315895,879832,,
BLUEPRINT MEDICINES CORP,09627Y109,303830,2709138,,
HOWMET AEROSPACE INC,443201108,214838,7527593,,HWM
ARGENX SE,04016X101,157708,536259,,ARGX
AMICUS THERAPEUTICS INC,03152W109,154213,6678788,,
ASCENDIS PHARMA A/S,04351P101,149190,894533,,ASND
SNOWFLAKE INC,833445109,85000,302060,,SNOW
FATE THERAPEUTICS INC,31189P102,80352,883666,,FATE
ZYMEWORKS INC,98985W102,46160,976735,,ZYME
FORMA THERAPEUTICS HLDGS INC,34633R104,27920,800000,,
XP INC,G98239109,3196,80569,,XP
