name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
UNITY SOFTWARE INC,91332U101,1534262795,34735404,,U
FIRST ADVANTAGE CORP NEW,31846B108,1301275415,89557840,,FA
EVERCOMMERCE INC,29977X105,812400997,67085136,,EVCM
MADISON SQUARE GRDN SPRT COR,55825T103,491425171,1899962,,
N-ABLE INC,62878D100,459824540,61473869,,
KLARNA GROUP PLC,G5279N105,418337616,14470343,,KLAR
GOODRX HLDGS INC,38246G108,9572468,3532276,,
SNOWFLAKE INC,833445109,2077559,9471,,SNOW
SIMON PROPERTY GROUP,828806109,249899,1350,,
AMPLITUDE INC.,03213A104,180833,15616,,
HEALTHPEAK PROPERTIES,71943U104,172692,10800,,
