name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
CAESARS ENTMT CORP,127686103,624545,53563071,,
VICI PPTYS INC,925652109,507388,22401220,,
MGM RESORTS INTERNATIONAL,552953101,313782,11319680,,MGM
NAVIENT CORPORATION,63938C108,272286,21272339,,JSM
SANTANDER CONSUMER USA HDG I,80283M101,270916,10620000,,
BERRY GLOBAL GROUP INC,08579W103,270892,6898188,,
DELL TECHNOLOGIES INC,24703L202,263545,5081851,,DELL
ALTABA INC,021346101,243500,12500000,,
ELDORADO RESORTS INC,28470R102,204521,5129705,,
ARCONIC INC,03965L100,187658,7217625,,
ALLERGAN PLC,G0177J108,171235,1017500,,
CELGENE CORP,151020104,125455,1263394,,
BOEING CO,097023105,109793,288572,,BA-PA
LIBERTY MEDIA CORP DELAWARE,531229AB8,87669,73000000,,
MICROCHIP TECHNOLOGY INC,595017AH7,83822,65000000,,MCHPP
PLAINS GP HLDGS L P,72651A207,68992,3249727,,
EDISON INTL,281020107,68632,910000,,
REALPAGE INC,75606NAB5,63377,40000000,,
WILLIAMS COS INC DEL,969457100,62881,2613502,,
LIGAND PHARMACEUTICALS INC,53220KAF5,57704,69000000,,LGNZZ
MICROCHIP TECHNOLOGY INC,595017AF1,54804,42500000,,MCHPP
J2 GLOBAL INC,48123VAC6,47104,33000000,,
PRA GROUP INC,69354NAB2,46112,45000000,,PRAA
ARDAGH GROUP S A,L0223L101,45590,2907518,,
UBER TECHNOLOGIES INC,90353T100,44340,1455221,,
JAZZ INVESTMENTS I LTD,472145AB7,44137,44000000,,
JAZZ INVESTMENTS I LTD,472145AD3,40483,41975000,,
OFFICE DEPOT INC,676220106,39166,22316968,,
VALARIS PLC,G9402V109,35140,7305552,,
QTS RLTY TR INC,74736A301,30331,250000,,
ACORDA THERAPEUTICS INC,00484MAA4,28747,36500000,,
YPF SOCIEDAD ANONIMA,984245100,26321,2845480,,YPF
TIDEWATER INC NEW,88642R109,17568,1162674,,TDGMW
INTELSAT S A,L5140P101,16097,706000,,
AVAYA HLDGS CORP,05351XAB7,14916,17400000,,
AKORN INC,009728106,11400,3000000,,
DHT HOLDINGS INC,Y2065G121,10009,1627460,,
NICE SYS INC,65366HAB9,7145,4000000,,
PELOTON INTERACTIVE INC,70614W100,6275,250000,,
PETROLEO BRASILEIRO SA PETRO,71654V408,4905,339000,,
ROAN RES INC,769755109,1819,1479077,,
WANDA SPORTS GROUP CO LTD,93368R101,979,241791,,
TARGET HOSPITALITY CORP,87615L115,478,500000,,TH
