name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ISHARES TR,464288513,144728,1725000,,
DENBURY INC,24790A101,134337,7611339,,
VODAFONE GROUP PLC NEW,92857W908,118569,7410600,CALL,
BAUSCH HEALTH COS INC,071734107,110788,7129240,,
VISTRA CORP,92840M102,107125,5679991,,VST
PG&E CORP,69331C108,69093,7358185,,PCG-PX
SLM CORP,78442P106,57287,7081251,,SLMBP
BAUSCH HEALTH COS INC,071734907,54820,2710000,CALL,
EDISON INTL,281020107,41715,820524,,
MICHAELS COS INC,59408Q106,40596,4204675,,
BUILDERS FIRSTSOURCE INC,12008R107,35091,1075756,,
VODAFONE GROUP PLC NEW,92857W308,34740,2588645,,
ALTICE USA INC,02156K103,26391,1015043,,
BERRY GLOBAL GROUP INC,08579W103,23467,485664,,
MARATHON PETE CORP,56585A102,19159,653005,,
OI SA,670851500,18056,12452323,,
DISCOVERY INC,25470F104,17451,801602,,
TIM PARTICIPACOES S A,88706P205,15389,1334658,,
ALTRIA GROUP INC,02209S103,14364,371750,,
QURATE RETAIL INC,74915M100,12810,1784107,,
LENNAR CORP,526057104,12778,156444,,
VALVOLINE INC,92047W101,12613,662435,,VVV
NATURAL RESOURCE PARTNERS L,63900P608,6681,560450,,
SL GREEN RLTY CORP,78440X101,2981,64278,,
VORNADO RLTY TR,929042109,1953,57948,,
AMBAC FINL GROUP INC,023139116,218,39906,,
OCCIDENTAL PETE CORP,674599162,31,10245,,
