name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
DELL TECHNOLOGIES INC,24703L202,384529,4362212,,DELL
BERRY GLOBAL GROUP INC,08579W103,242482,3949218,,
XILINX INC,983919101,176289,1422829,,
MICROCHIP TECHNOLOGY INC.,595017AH7,141242,61500000,,MCHPP
LIBERTY MEDIA CORP DEL,531229AB8,90306,70000000,,FWONB
SANTANDER CONSUMER USA HLDGS,80283M101,80826,2986928,,
ALEXION PHARMACEUTICALS INC,015351109,68810,450000,,
BAUSCH HEALTH COS INC,071734107,68717,2165000,,
ARDAGH GROUP S A,L0223L101,66289,2608760,,
INTEGRA LIFESCIENCES HLDGS C,457985AM1,66221,59000000,,
HOWMET AEROSPACE INC,443201108,65867,2050000,,HWM
THE ODP CORP,88337F105,61807,1427732,,
AGNC INVT CORP,00123Q104,60765,3625616,,
SPLUNK INC,848637AD6,59873,50500000,,
INSIGHT ENTERPRISES INC,45765UAB9,52192,35500000,,NSIT
AVAYA HLDGS CORP,05351XAB7,50555,40750000,,
LIGAND PHARMACEUTICALS INC,53220KAF5,49299,47500000,,LGNZZ
GUIDEWIRE SOFTWARE INC,40171VAA8,46540,41250000,,
TENET HEALTHCARE CORP,88033G407,45240,870000,,THC
CAESARS ENTERTAINMENT INC NE,12769G100,41138,470413,,
LIBERTY LATIN AMERICA LTD,G9001E128,38929,2999119,,LILAP
GORES HOLDINGS VII INC,38286T200,34043,3417946,,
PAYSAFE LIMITED,G6964L107,32019,2371745,,
ALLSCRIPTS HEALTHCARE SOLUTN,01988PAF5,30424,23000000,,
GORES TECHNOLOGY PARTNERS II,38287L206,29847,2990900,,
NUVASIVE INC,670704AJ4,25794,25315000,,
ATLAS CREST INVT CORP,049284102,25125,2500000,,
GORES GUGGENHEIM INC,38286Q206,24825,2500000,,
BENEFITFOCUS INC,08180DAB2,21899,23850000,,
ACORDA THERAPEUTICS INC,00484MAC0,20244,27375000,,
JAWS MUSTANG ACQUISITION COR,G50737108,19760,2000000,,
GORES HLDGS VIII INC,382863207,19000,1900000,,
ARES ACQUISITION CORPORATION,G33032106,14850,1500000,,
GORES TECHNOLOGY PARTNERS IN,382870202,14611,1459680,,
RUSH STREET INTERACTIVE INC,782011100,13768,842600,,
SOARING EAGLE ACQUISITION CO,G8354H100,12144,1200000,,
AUSTERLITZ ACQUISITION CORP,G0633U119,10030,1000000,,
APOLLO STRATEGIC GRWT CPTL I,G0412A110,9980,1000000,,
WARBURG PINCUS CAPTAL CORP I,G9460M116,9980,1000000,,
FORTRESS VALUE ACQUISI CORP,34964K207,9900,1000000,,
MAGNUM OPUS ACQUISITION LTD,G5S70A120,9890,1000000,,
GOLDEN FALCON ACQUISITION CO,38102H109,9670,1000000,,
L CATTERTON ASIA ACQUISITION,G5346G109,8955,900000,,
KAR AUCTION SVCS INC,48238T109,8140,542646,,
CC NEUBERGER PRINCIPAL HOLDN,G1992N100,7760,800000,,
DRAGONEER GROWTH OPT CORP II,G28315102,7077,700000,,
SUPERNOVA PARTNERS ACQUISTN,G8T86C113,7028,700000,,
LIBERTY MEDIA ACQUISITION CO,53073L104,7004,692779,,
SCION TECH GROWTH II,G31070124,6972,700000,,
ACCELERATE ACQUISITION CORP,00439D201,6951,700000,,
MASON INDUSTRIAL TECHNOLGY I,57520Y106,6797,700000,,
DECARBONIZATION PLUS ACQU II,242794105,6755,700000,,
CHURCHILL CAPITAL CORP VII,17144M201,6481,650000,,
ATLAS CREST INVESTMENT CORP,049287105,6357,650000,,
WARBURG PINCUS CAPTAL CORP I,G9461D123,5040,500000,,
LEVERE HOLDINGS CORP,G5462L114,4980,500000,,
GOLDEN ARROW MERGER CORP,380799205,4975,500000,,
PAYSAFE LIMITED,G6964L115,4960,1145557,,
CENTRICUS ACQUISITION CORP,G2072Q104,4800,500000,,
MSD ACQUISITION CORP,G5709C117,4657,458836,,
ROCKET INTERNET GRWT OPRT CO,G7613T111,4505,450000,,
FINTECH EVOLUTION ACQUIS GRO,G3R19A112,4442,450000,,
FIRST RESERVE SUSTAINABLE GW,336169206,4000,400000,,
GORES METROPOULOS II INC,382873107,3960,400000,,
AUSTERLITZ ACQUISITION CORP,G0633D117,3514,350000,,
LAZARD GROWTH ACQUISITION CO,G54035129,3500,350000,,
JACK CREEK INVESTMENT CORP,G4989X115,3388,350000,,
REINVENT TECHNOLOGY PARTNERS,G7484L114,3012,300000,,
ADVANCED MERGER PARTNERS INC,00777J208,3000,300000,,
ARCLIGHT CLEAN TRANSITION II,G0R21B120,3000,300000,,
KERNEL GROUP HOLDINGS INC,G5259L103,2865,300000,,
G SQUARED ASCEND I INC,G4204R109,2180,222479,,
KKR ACQUISITION HOLDING I CO,48253T208,2002,200000,,
ATLAS CREST INVT CORP,049284110,1500,833333,,
ACORDA THERAPEUTICS INC,00484M601,956,196370,,
LIBERTY LATIN AMERICA LTD,G9001E102,673,52442,,LILAP
JAWS MUSTANG ACQUISITION COR,G50737124,580,500000,,
LIBERTY MEDIA ACQUISITION CO,53073L112,419,138643,,
GOLDEN FALCON ACQUISITION CO,38102H117,355,500000,,
KHOSLA VENTURES ACQUISITION,482504107,289,28601,,
DECARBONIZATION PLUS ACQU II,242794113,268,233331,,
ARES ACQUISITION CORPORATION,G33032122,263,300000,,
CC NEUBERGER PRINCIPAL HOLDN,G1992N126,184,159998,,
MASON INDUSTRIAL TECHNOLGY I,57520Y114,147,233333,,
ATLAS CREST INVESTMENT CORP,049287113,138,162499,,
KERNEL GROUP HOLDINGS INC,G5259L129,128,149999,,
GORES METROPOULOS II INC,382873115,113,80000,,
JACK CREEK INVESTMENT CORP,G4989X123,93,175000,,
CENTRICUS ACQUISITION CORP,G2072Q120,75,125000,,
G SQUARED ASCEND I INC,G4204R117,42,44494,,
