name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
SUNCOR ENERGY INC NEW,867224107,1943900548,52670800,,SU
TRIPLE FLAG PRECIOUS METAL,89679M104,1933637255,133815727,,
INVESCO QQQ TR,46090E103,1717386279,3867900,PUT,
MARATHON PETE CORP,56585A102,1484047500,7365000,,
SELECT SECTOR SPDR TR,81369Y506,1463355000,15500000,PUT,
PINTEREST INC,72352L106,970760000,28000000,,
NRG ENERGY INC,629377508,701200710,10359000,,
VANECK ETF TRUST,92189H607,571761000,1700000,PUT,
SELECT SECTOR SPDR TR,81369Y605,421200000,10000000,PUT,
SPDR SER TR,78464A714,394950000,5000000,PUT,
VALERO ENERGY CORP,91913Y100,341380000,2000000,CALL,
ISHARES TR,464287556,308745000,2250000,PUT,
BIOMARIN PHARMACEUTICAL INC,09061G101,305719521,3500338,,BMRN
SPDR SER TR,78464A755,301400000,5000000,PUT,
SEADRILL 2021 LTD,G7997W102,285800878,5681926,,
CATALENT INC,148806102,225800000,4000000,,
CARDINAL HEALTH INC,14149Y108,223800000,2000000,,CAH
MICROSTRATEGY INC,594972AC5,179613442,41900000,,
ISHARES TR,464287242,163380000,1500000,CALL,
ETSY INC,29786A106,154620000,2250000,,ETSY
MATCH GROUP INC NEW,57667L107,149655000,4125000,,
CONSTELLATION BRANDS INC,21036P108,137782320,507000,,
CROWN CASTLE INC,22822V101,129641750,1225000,,CCI
PHILLIPS 66,718546104,126588500,775000,,PSX
E2OPEN PARENT HOLDINGS INC,29788T103,120990000,27250000,,
SPDR SER TR,78464A870,106751250,1125000,PUT,
ENDEAVOR GROUP HLDGS INC,29260Y109,105493000,4100000,,
LIBERTY BROADBAND CORP,530307305,97291000,1700000,,LBRDP
ISHARES TR,464287432,94620000,1000000,CALL,
VANGUARD INDEX FDS,922908553,90804000,1050000,CALL,
PEABODY ENERGY CORP,704551100,90732400,3740000,,BTU
WESTERN DIGITAL CORP.,958102105,80864400,1185000,,WDC
ISHARES TR,464288513,79284600,1020000,,
RINGCENTRAL INC,76680RAH0,65068511,72500000,,
TRANSOCEAN LTD,H8817H100,61236443,9751026,,RIG
UNITI GROUP INC,91325V108,59713682,10120963,,UNIT
DIGITAL RLTY TR INC,253868103,57616000,400000,PUT,
BOOKING HOLDINGS INC,09857LAN8,48273558,25000000,,BKNG
EQUINIX INC,29444U700,41266500,50000,PUT,EQIX
UNITY SOFTWARE INC,91332UAB7,38109655,45000000,,U
RAPID7 INC,753422AF1,36477447,41500000,,
BILL HOLDINGS INC,090043AD2,36083751,42000000,,
HDFC BANK LTD,40415F101,31076895,555242,,HDB
CONFLUENT INC,20717MAB9,30009096,35000000,,
ETF SER SOLUTIONS,26922A842,26262500,1250000,PUT,
Q2 HLDGS INC,74736LAF6,17908887,19323000,,
BLACKLINE INC,09239BAD1,16297715,18000000,,
ON SEMICONDUCTOR CORP,682189AS4,14691361,10000000,,ON
ISHARES BITCOIN TR,46438F101,11979525,296010,,
HOWMET AEROSPACE INC,443201108,6843000,100000,,HWM
MICROSTRATEGY INC,594972AE1,6813408,5000000,,
CORMEDIX INC,21900C308,6574218,1550523,,CRMD
NVIDIA CORPORATION,67066G104,4517800,5000,,NVDA
POLESTAR AUTOMOTIVE HLDG UK,731105201,1727270,1121604,,
BAUSCH HEALTH COS INC,071734107,121925,11500,,
