name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
KRAFT HEINZ CO,500754106,10384494,325634818,,KHC
MOODYS CORP,615369105,3289597,11973928,,
CHARTER COMMUNICATIONS INC N,16119P108,2659074,5213461,,
JPMORGAN CHASE & CO,46625H100,2088925,22208427,,JPM-PM
VISA INC,92826C839,1929278,9987460,,V
DAVITA HEALTHCARE PARTNERS I,23918K108,1549726,19582088,,
MASTERCARD INC,57636Q104,1349798,4564756,,MA
COSTCO WHSL CORP NEW,22160K105,1313919,4333363,,
AMAZON COM INC,023135106,1157325,419500,,AMZN
VERISIGN INC,92343E102,1015563,4910132,,
KROGER CO,501044101,742672,21940079,,KR
GENERAL MTRS CO,37045V100,674878,26675000,,
PNC FINL SVCS GROUP INC,693475105,562935,5350586,,
STONECO LTD,G85158106,549103,14166748,,STNE
LIBERTY MEDIA CORP DELAWARE,531229607,509113,14778322,,
M & T BK CORP,55261F104,471626,4536174,,
SYNCHRONY FINL,87165B103,372022,16788000,,
BANK OF NEW YORK MELLON CORP,064058100,290310,7511249,,BNY-PK
TEVA PHARMACEUTICAL INDS LTD,881624209,269102,21825000,,
RH,74967X103,189978,763269,,RH
AMERICAN EXPRESS CO,025816109,185844,1952142,,AXP
SUNCOR ENERGY INC NEW,867224107,180200,10688000,,SU
LIBERTY GLOBAL PLC,G5480U104,172650,7898000,,
LIBERTY GLOBAL PLC,G5480U120,158033,7346968,,
LIBERTY MEDIA CORP DELAWARE,531229409,148716,4308117,,
BARRICK GOLD CORPORATION,067901108,130524,4845000,,
BIOGEN INC,09062X103,125300,468322,,BIIB
BANK AMER CORP,060505104,93100,3920000,,
STORE CAP CORP,862121100,71787,3015000,,
AXALTA COATING SYS LTD,G0750C108,70582,3130000,,
APPLE INC,037833100,63110,173000,,AAPL
JOHNSON & JOHNSON,478160104,46000,327100,,JNJ
PROCTER & GAMBLE CO,742718109,37712,315400,,PG
COCA COLA CO,191216100,35744,800000,,KO
SIRIUS XM HLDGS INC,82968B103,33060,5632059,,
MONDELEZ INTL INC,609207105,29553,578000,,
US BANCORP DEL,902973304,21734,590275,,
WELLS FARGO & CO NEW,949746101,20480,800000,,
GLOBE LIFE INC,37959E102,12952,174489,,GL-PD
VANGUARD INDEX FDS,922908363,12187,43000,,
SPDR S&P 500 ETF TR,78462F103,12149,39400,,
LIBERTY LATIN AMERICA LTD,G9001E128,12121,1284020,,LILAP
LIBERTY LATIN AMERICA LTD,G9001E102,9775,1005607,,LILAP
UNITED PARCEL SERVICE INC,911312106,6604,59400,,UPS
