name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
SALESFORCE INC,79466L302,1071385516,3914309,,
INSIGHT ENTERPRISES INC,45765U103,874857963,4061739,,NSIT
DISNEY WALT CO,254687106,718042094,7464831,,
ROBLOX CORP,771049103,448615863,10135921,,RBLX
EXPEDIA GROUP INC,30212P303,385977840,2607606,,
META PLATFORMS INC,30303M102,121071060,211500,,
LIVE NATION ENTERTAINMENT IN,538034109,111094029,1014650,,
VISA,92826C839,102721320,373600,,
LIBERTY MEDIA CORP DEL,531229722,68653875,1337500,,FWONB
LIBERTY MEDIA CORP DEL,531229748,33260818,671800,,FWONB
