name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
CHARTER COMMUNICATIONS INC N,16119P108,3839592,9716058,,
ALPHABET INC,02079K107,3757346,3476095,,GOOGN
CANADIAN PAC RY LTD,13645T100,2391674,10157465,,
MICROSOFT CORP,594918104,2200370,16425574,,MSFT
CANADIAN NATL RY CO,136375102,1757269,18992423,,
MOODYS CORP,615369105,1176335,6022912,,
ANTHEM INC,036752103,850041,3012085,,
UNION PACIFIC CORP,907818108,799515,4727781,,UNP
ALPHABET INC,02079K305,595238,549721,,GOOGN
S&P GLOBAL INC,78409V104,451574,1982414,,SPGI
UNIVAR INC,91336L107,347445,15764300,,
EQUIFAX INC,294429105,220993,1634083,,EFX
VISA INC,92826C839,151006,870100,,V
