name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
PG&E CORP,69331CAL2,128204640,118000000,,PCG-PX
BOEING CO,097023204,103853000,1700000,,BA-PA
BOEING CO,097023105,88500000,500000,,BA-PA
NVIDIA CORPORATION,67066G104,80574000,600000,PUT,NVDA
PG&E CORP,69331C306,79888000,1600000,,PCG-PX
SURGERY PARTNERS INC,86881A100,59276000,2800000,,
AVEANNA HEALTHCARE HLDGS INC,05356F105,29248000,6400000,,
BAUSCH PLUS LOMB CORP,071705107,20521957,1136321,,
PG&E CORP,69331C108,17354800,860000,,PCG-PX
REALOGY GRP LLC/REALOGY CO,75606DAP6,14706879,16500000,,
UNITI GROUP INC,91325V108,14300000,2600000,,UNIT
UPSTART HLDGS INC,91680MAB3,9003580,10000000,,
ARDAGH METAL PACKAGING S A,L02235106,7675500,2550000,,
ALTICE USA INC,02156K103,6025000,2500000,,
PLUM ACQUISITION CORP III,G63290103,60000,333333,,
