name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
APPLE INC,037833100,10564164000,54870222,,AAPL
MICROSOFT CORP,594918104,9565525286,25437519,,MSFT
AMAZON COM INC COM,023135106,6418186965,42241587,,AMZN
ALPHABET INC CLASS A,02079K305,6316901644,45220857,,
VANGUARD FDS INT TERM CORP,92206C870,5951317543,73219949,,
NVIDIA CORP COM,67066G104,4429237583,8943979,,NVDA
ADVANCED MICRO DEVICES INC,007903107,4181848863,28368826,,AMD
SALESFORCE INC,79466L302,3926323188,14921042,,
ASML HOLDING N V NYS,N07059210,3767463996,4977359,,
TAIWAN SEMICONDUCTOR MFG L ADR,874039100,3232287070,31079682,,
HOME DEPOT INC,437076102,3050363183,8802085,,
ADOBE INC,00724F101,2720548093,4560086,,ADBE
ELI LILLY  CO,532457108,2649130010,4544585,,
CATERPILLAR INC,149123101,2408480950,8145840,,CAT
BROADCOM INC COM,11135F101,2378403835,2130708,,AVGO
FREEPORT MCMORAN INC,35671D857,2371604351,55710695,,
LAM RESEARCH CORP,512807108,2328358037,2972650,,LRCX
VISA INC,92826C839,2323149147,8923176,,V
GOLDMAN SACHS GROUP INC,38141G104,2128692856,5518035,,GS-PD
JPMORGAN CHASE  CO,46625H100,2015530360,11849090,,
NETFLIX INC COM,64110L106,2006483335,4121104,,NFLX
INTUIT,461202103,1946942570,3114957,,
ORACLE CORP,68389X105,1943831753,18437178,,ORCL-PD
META PLATFORMS INC CL A,30303M102,1931545468,5456958,,
MORGAN STANLEY,617446448,1888380198,20250725,,MS-PQ
COSTCO WHSL CORP NEW,22160K105,1844580594,2794480,,
AMERICAN EXPRESS CO,025816109,1836450148,9802765,,AXP
ISHARES TR IBOXX INV CP ETF,464287242,1677034776,15154840,,
BLACKROCK INC,09247X101,1636211819,2015535,,
MASTERCARD INCORPORATED,57636Q104,1618146162,3793923,,
PROCTER AND GAMBLE CO,742718109,1547021166,10556988,,
INTUITIVE SURGICAL INC,46120E602,1516222159,4494373,,ISRG
UNITEDHEALTH GROUP INC,91324P102,1512500425,2872908,,UNH
WALMART INC,931142103,1505601874,9550281,,WMT
SHELL PLC ADR,780259305,1504920461,22871131,,
MERCK  CO INC,58933Y105,1479071033,13566968,,
NOVO NORDISK A S ADR,670100205,1468337690,14193693,,
UNION PAC CORP,907818108,1441259526,5867842,,
TOTALENERGIES SE ADR ADR,89151E109,1427431330,21184792,,
THERMO FISHER SCIENTIFIC INC,883556102,1365720045,2572994,,TMO
BHP GROUP LTD SPONSORED AD ADR,088606108,1359518152,19902182,,
BOOKING HLDGS INC COM,09857L108,1336361913,376734,,
EXXON MOBIL CORP,30231G102,1319507444,13197713,,
CHEVRON CORP NEW,166764100,1283921816,8607681,,CVX
SCHWAB CHARLES CORP COM,808513105,1281583588,18627667,,SCHW-PJ
SPDR SER TR PORTFOLIO SH TSR,78468R101,1279663959,44050393,,
CITIGROUP INC,172967424,1273233326,24751813,,C-PR
BANK AMERICA CORP,060505104,1267665720,37649708,,
LVMH MOET HENNESSY LOU VUI ADR,502441306,1253674370,7735148,,
CAPITAL ONE FINL CORP,14040H105,1251260939,9542868,,
STRYKER CORPORATION,863667101,1210512456,4042317,,SYK
RIO TINTO PLC ADR,767204100,1194751038,16045541,,
TOYOTA MOTOR CORP ADR,892331307,1139359310,6213105,,
PEPSICO INC COM,713448108,1120335431,6596416,,PEP
ABBOTT LABS,002824100,1093091159,9930872,,
STARBUCKS CORP,855244109,1091377559,11367331,,SBUX
BOEING CO,097023105,1074434532,4121977,,BA-PA
NIKE INC,654106103,1073515230,9887769,,
SPDR BLOOMBERG BRCLYS LG TRS E,78464A664,1068870022,36832185,,
SIEMENS A G ADR,826197501,1046416917,11149708,,
L OREAL CO ADR,502117203,1031763677,10362963,,
INVESCO QQQ TRUST SERIES 1,46090E103,1031259765,2518214,,
ISHARES TR EXPANDED TECH,464287515,1029098850,2536975,,
SERVICENOW INC,81762P102,1022499763,1447294,,
TOKYO ELECTRON LTD ADR ADR,889110102,1008081912,11254757,,
JOHNSON  JOHNSON,478160104,996896435,6360190,,
ISHARES TR BROAD USD HIGH,46435U853,993356772,27327559,,
DANAHER CORP DEL  COM,235851102,977899585,4227108,,
ING GROEP N V  ADR,456837103,957917971,63776162,,
ISHARES TR 7 10YR TR BD ETF,464287440,938322967,9734650,,
SCHNEIDER ELECTRIC SE ADR,80687P106,885819945,22056829,,
BNP PARIBAS ADR,05565A202,884759475,25593124,,
CONOCOPHILLIPS,20825C104,861929914,7425948,,COP
SAP SE ADR,803054204,823256161,5325415,,
ABB LTD ADR,000375204,816342809,18420242,,
APPLIED MATLS INC,038222105,813129210,5017147,,
JOHNSON CTLS INTL PLC  SHS,G51502105,779767793,13528240,,
CSX CORP,126408103,775854860,22378276,,CSX
ILLINOIS TOOL WKS INC,452308109,773233726,2951948,,
CARRIER GLOBAL CORPORATION,14448C104,763711812,13293503,,CARR
RTX CORPORATION COM,75513E101,756888735,8995587,,RTX
FORD MTR CO DEL,345370860,721064772,59152154,,
SANOFI ADR,80105N105,712462852,14326620,,
VANGUARD S P 500 ETF,922908363,683974703,1565875,,
BP PLC SPONSORED ADR ADR,055622104,679718490,19201087,,
NESTLE S A ADR,641069406,658959854,5687758,,
DISNEY WALT CO,254687106,650472349,7204256,,
