name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
GE AEROSPACE,369604301,9521325042,47570947,,
MICROSOFT CORP,594918104,6494202329,17299881,,MSFT
MOODYS CORP,615369105,6129927299,13163107,,
VISA INC,92826C839,5830799979,16637562,,V
S&P GLOBAL INC,78409V104,5264560779,10361269,,SPGI
CANADIAN PACIFIC KANSAS CITY,13646K108,3854575745,54913285,,
CANADIAN NATL RY CO,136375102,2619619831,26899078,,
ALPHABET INC,02079K107,2164681479,13855735,,GOOGN
FERROVIAL SE,N3168P101,861116451,19333428,,
ALPHABET INC,02079K305,631721410,4085110,,GOOGN
