name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
TESLA INC,88160R101,1016719,962091,,
RIVIAN AUTOMOTIVE INC,76954A103,984844,9497966,,
MODERNA INC,60770K107,918156,3615072,,
DISNEY WALT CO,254687106,685275,4424272,,
META PLATFORMS INC,30303M102,635225,1888584,,
ENDEAVOR GROUP HLDGS INC,29260Y109,495175,14192450,,
MICROSOFT CORP,594918104,489141,1454392,,MSFT
LAM RESEARCH CORP,512807108,476339,662364,,LRCX
PAYPAL HLDGS INC,70450Y103,460472,2441787,,
DOORDASH INC,25809K105,322722,2167373,,
NVIDIA CORPORATION,67066G104,234677,797924,,NVDA
CROWDSTRIKE HLDGS INC,22788C105,224571,1096807,,
BATH & BODY WORKS INC,070830104,224335,3214424,,
BROADCOM INC,11135F101,211324,317584,,AVGO
APPLIED MATLS INC,038222105,191422,1216456,,
GLOBAL PMTS INC,37940X102,174833,1293332,,
XPENG INC,98422D105,174132,3459808,,XPNGF
BIONTECH SE,09075V102,169901,659041,,BNTX
PFIZER INC,717081103,169409,2868902,,PFE
AMAZON COM INC,023135106,165730,49704,,AMZN
GITLAB INC,37637K108,164081,1885990,,GTLB
ZOOM VIDEO COMMUNICATIONS IN,98980L101,149347,812066,,
ROBLOX CORP,771049103,146179,1417014,,RBLX
UBER TECHNOLOGIES INC,90353T100,129403,3086170,,
DINGDONG CAYMAN LTD,25445D101,113670,7029666,,
ANAPLAN INC,03272L108,109258,2382943,,
VISA INC,92826C839,105376,486252,,V
FASTLY INC,31188V100,93363,2633645,,
SEA LTD,81141R100,92169,412004,,SE
ZILLOW GROUP INC,98954M200,79136,1239409,,
LI AUTO INC,50202M102,77626,2418246,,LAAOF
BLOCK INC,852234103,73900,457555,,
NIKOLA CORP,654110105,72929,7389005,,
BILL COM HLDGS INC,090043100,72023,289074,,
SHOPIFY INC,82509L107,69235,50265,,SHOP
JD.COM INC,47215P106,65557,935587,,
MASTERCARD INCORPORATED,57636Q104,61925,172339,,
DIDI GLOBAL INC,23292E108,59840,12016000,,DIDIY
SNAP INC,83304A106,59510,1265369,,SNAP
VICTORIAS SECRET AND CO,926400102,59510,1071472,,
ACTIVISION BLIZZARD INC,00507V109,44261,665283,,
INSULET CORP,45784P101,41944,157644,,PODD
TAIWAN SEMICONDUCTOR MFG LTD,874039100,38205,317552,,
KE HLDGS INC,482497104,37114,1844630,,
SNOWFLAKE INC,833445109,32393,95625,,SNOW
HUBSPOT INC,443573100,28354,43016,,HUBS
VIACOMCBS INC,92556H206,25810,855209,,
SINGULAR GENOMICS SYSTEMS IN,82933R100,24503,2119614,,
ALIBABA GROUP HLDG LTD,01609W102,21341,179657,,
APPIAN CORP,03782L101,19510,299180,,APPN
RIBBIT LEAP LTD,G7552B121,18190,1830000,,
AGORA INC,00851L103,17760,1095612,,
GUARDANT HEALTH INC,40131M109,16572,165691,,
BLEND LABS INC,09352U108,16495,2247219,,
SUNRUN INC,86771W105,16369,477239,,RUN
DEXCOM INC,252131107,15886,29586,,DXCM
PELOTON INTERACTIVE INC,70614W100,15615,436656,,
QUANTUMSCAPE CORP,74767V109,14922,672447,,QS
SUNLIGHT FINANCIAL HOLDINGS,86738J106,13361,2795237,,
ABSCI CORPORATION,00091E109,12166,1483667,,ABSI
INTELLIA THERAPEUTICS INC,45826J105,12032,101762,,
NETFLIX INC,64110L106,11186,18568,,NFLX
PINTEREST INC,72352L106,10702,294409,,
LIGHTSPEED COMMERCE INC,53229C107,10050,248572,,LSPD
FUTU HLDGS LTD,36118L106,8496,196222,,
CARIBOU BIOSCIENCES INC,142038108,8415,557669,,
HERTZ GLOBAL HLDGS INC,42806J148,8104,508063,,
PINDUODUO INC,722304102,7752,132971,,
OSCAR HEALTH INC,687793109,7572,964585,,
ZILLOW GROUP INC,98954M101,7352,118167,,
MARQETA INC,57142B104,5411,315121,,
CONFLUENT INC,20717M103,4508,59131,,
TRIP COM GROUP LTD,89677Q107,3945,160231,,
KANZHUN LIMITED,48553T106,3860,110661,,
TOAST INC,888787108,3599,103694,,
AFFIRM HLDGS INC,00827B106,3323,33040,,
STITCH FIX INC,860897107,2268,119860,,
MSD ACQUISITION CORP,G5709C117,2142,210802,,
DATADOG INC,23804L103,1563,8776,,
TWITTER INC,90184L102,1502,34753,,
TWILIO INC,90138F102,1049,3985,,TWLO
