name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
LIBERTY GLOBAL LTD,G61188127,746366,42311011,,LBTYK
ALPHABET INC,02079K107,450332,2957652,,GOOGN
WILLIS TOWERS WATSON PLC LTD,G96629103,427808,1555667,,WTW
FIDELITY NATL INFORMATION SV,31620M106,413848,5578969,,
VIASAT INC,92552V100,271908,15030838,,VSAT
CRH PLC,G25508105,233725,2709543,,
CLARIVATE PLC,G21810109,227346,30598402,,CLVT
LIBERTY MEDIA CORP DEL,531229789,129270,4351048,,FWONB
LIBERTY GLOBAL LTD,G61188101,121727,7194276,,LBTYK
OUTBRAIN INC,69002RAB9,102550,118000000,,
JAZZ PHARMACEUTICALS PLC,G50871105,100394,833696,,JAZZ
LIBERTY MEDIA CORP DEL,531229813,79526,2677656,,FWONB
JACOBS SOLUTIONS INC,46982L108,77908,506786,,J
EAGLE MATLS INC,26969P108,71199,262000,,
THERAVANCE BIOPHARMA INC,G8807B106,59149,6594126,,
WESCO INTL INC,95082P105,35236,205724,,
WARNER BROS DISCOVERY INC,934423104,32423,3713930,,
HERBALIFE LTD,G4412G101,22561,2244923,,HLF
GDS HLDGS LTD,36165L108,17290,2600000,,
ALTICE USA INC,02156K103,12462,4774615,,
FORTREA HLDGS INC,34965K107,12194,303797,,
SOUNDHOUND AI INC,836100107,5554,1130636,,
