name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
LIBERTY BROADBAND CORP,530307305,713819,5676496,,LBRDP
VICI PPTYS INC,925652109,180573,7067442,,
TESLA INC,88160RAG6,91105,60000000,,
ALPHABET INC,02079K305,88065,65750,,GOOGN
NORTONLIFELOCK INC,668771108,84059,3293863,,
D R HORTON INC,23331A109,71275,1351190,,
ROVI CORP,779376AD4,62818,63222000,,
MICROCHIP TECHNOLOGY INC,595017AH7,56276,38827000,,MCHPP
MONDELEZ INTL INC,609207105,55851,1014000,,
GRIFOLS S A,398438408,48492,2082086,,
INSEEGO CORP,45782BAA2,48340,30769000,,INSG
ARCHER DANIELS MIDLAND CO,039483102,46350,1000000,,
ACTIVISION BLIZZARD INC,00507V109,45070,758500,,
LPL FINL HLDGS INC,50212V100,44116,478222,,
VISTRA ENERGY CORP,92840M102,40807,1775000,,
ENERGIZER HLDGS INC NEW,29272W109,35405,705000,,
UNITEDHEALTH GROUP INC,91324P102,35278,120000,,UNH
WAYFAIR INC,94419LAD3,32373,31250000,,W
EDGEWELL PERS CARE CO,28035Q102,31889,1030000,,
WESTERN ASSET MTG CAP CORP,95790DAA3,31853,31218000,,
KEURIG DR PEPPER INC,49271V100,31845,1100000,,KDP
TIFFANY & CO NEW,886547108,31642,236750,,
ISHARES TR,464287234,30332,676000,CALL,
ON SEMICONDUCTOR CORP,682189AK1,29708,21813000,,ON
JPMORGAN CHASE & CO,46625H100,29587,212244,,JPM-PM
ANNALY CAP MGMT INC,035710409,27854,2956889,,
CITIGROUP INC,172967424,25547,319779,,C-PR
AGNC INVT CORP,00123Q104,24547,1388407,,
ALCON INC,H01301128,24186,427544,,ALC
BANK AMER CORP,060505104,22681,643968,,
BGC PARTNERS INC,05541T101,22344,3761698,,
OWL ROCK CAPITAL CORPORATION,69121K104,21477,1200488,,
CAESARS ENTMT CORP,127686103,21251,1562577,,
ZAYO GROUP HLDGS INC,98919V105,20509,591887,,
ALLY FINL INC,02005N100,20046,655953,,
VEONEER INCORPORATED,92336XAA7,19343,18700000,,
NRG ENERGY INC,629377508,19080,480000,,
EVOLENT HEALTH INC,30050BAD3,17856,25461000,,
CALAMP CORP,128126AD1,17131,20467000,,
BENEFITFOCUS INC,08180DAB2,16973,19456000,,
TEAM INC,878155AE0,16762,15944000,,TISI
GAIN CAP HLDGS INC,36268WAF7,16405,18582000,,
TIMKENSTEEL CORP,887399AA1,16369,15815000,,
BOEING CO,097023105,16216,49780,,BA-PA
SYNCHRONY FINL,87165B103,15660,434891,,
WELLS FARGO CO NEW,949746101,15367,285630,,
BP PLC,055622104,15096,400000,,BPPFF
CAMPBELL SOUP CO,134429109,14826,300000,,
REDWOOD TR INC,758075AD7,14671,14325000,,
GREEN PLAINS INC,393222AF1,13965,14800000,,GPRE
OPKO HEALTH INC,68375NAD5,13324,16900000,,
CABOT OIL & GAS CORP,127097103,13058,750000,,
INVACARE CORP,461203AH4,11635,12473000,,
TD AMERITRADE HLDG CORP,87236Y108,11447,230327,,
PIONEER NAT RES CO,723787107,11353,75000,,
EURONET WORLDWIDE INC,298736109,11266,71500,,
WELLCARE HEALTH PLANS INC,94946T106,11103,33624,,
KKR & CO INC,48251W104,9906,339587,,
CHENIERE ENERGY INC,16411R208,9698,158800,,
APOLLO COML REAL EST FIN INC,03762UAB1,9546,9471000,,
CME GROUP INC,12572Q105,9259,46130,,CME
SUNPOWER CORP,867652AL3,9243,11193000,,
S&P GLOBAL INC,78409V104,8629,31602,,SPGI
INTERXION HOLDING N.V,N47279109,8571,102267,,
AMERICAN INTL GROUP INC,026874784,8518,165943,,
DENBURY RES INC,247916208,8108,5750000,,
PELOTON INTERACTIVE INC,70614W100,7977,280872,,
SPDR S&P 500 ETF TR,78462F103,7849,24386,,
SANTANDER CONSUMER USA HDG I,80283M101,7589,324745,,
PNC FINL SVCS GROUP INC,693475105,7328,45904,,
RESOURCE CAP CORP,76120WAC8,7270,6910000,,
US BANCORP DEL,902973304,7056,119003,,
TRUIST FINL CORP,89832Q109,7032,124855,,
AMERICAN EXPRESS CO,025816109,6981,56077,,AXP
MORGAN STANLEY,617446448,6857,134143,,MS-PQ
BANK NEW YORK MELLON CORP,064058100,6424,127645,,
WRIGHT MED GROUP N V,N96617118,6401,210000,,
BELLRING BRANDS INC,079823100,6387,300000,,
CHUBB LIMITED,H1467J104,6274,40306,,
