name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
SHOPIFY INC,82509L107,2385123,1632550,,SHOP
L BRANDS INC,501797104,1892663,26265094,,
FACEBOOK INC,30303M102,1733581,4985709,,
AMAZON COM INC,023135106,1667587,484741,,AMZN
SNAP INC,83304A106,1563287,22942282,,SNAP
MICROSOFT CORP,594918104,1429125,5275472,,MSFT
ADOBE SYSTEMS INCORPORATED,00724F101,1415464,2416952,,
SQUARE INC,852234103,1393383,5715271,,
SERVICENOW INC,81762P102,1356728,2468798,,
DOORDASH INC,25809K105,1330370,7460157,,
MATCH GROUP INC NEW,57667L107,1249123,7746500,,
COUPA SOFTWARE INC,22266L106,1223959,4669637,,
UNITEDHEALTH GROUP INC,91324P102,1203719,3005990,,UNH
GLOBAL PMTS INC,37940X102,1039402,5542294,,
FARFETCH LTD,30744W107,950136,18866886,,
MODERNA INC,60770K107,937781,3990897,,
WORKDAY INC,98138H101,818249,3427366,,
DEXCOM INC,252131107,797759,1868287,,DXCM
ICICI BANK LIMITED,45104G104,737965,43155826,,
RH,74967X103,693140,1020825,,RH
TWITTER INC,90184L102,681422,9902947,,
MASTERCARD INCORPORATED,57636Q104,658549,1803798,,
CARVANA CO,146869102,646592,2142309,,CVNA
KE HLDGS INC,482497104,623140,13069217,,
DATADOG INC,23804L103,606931,5831385,,
STONECO LTD,G85158106,593242,8846433,,STNE
MARQETA INC,57142B104,490574,17476795,,
TRANSDIGM GROUP INC,893641100,464407,717463,,TDG
PVH CORPORATION,693656100,292613,2719709,,
FIGS INC,30260D103,214156,4274577,,
ASCENDIS PHARMA A/S,04351P101,189035,1436981,,ASND
CONFLUENT INC,20717M103,172357,3628578,,
FATE THERAPEUTICS INC,31189P102,151820,1749284,,FATE
ZYMEWORKS INC,98985W102,33883,976735,,ZYME
FORMA THERAPEUTICS HLDGS INC,34633R104,19912,800000,,
SENTINELONE INC,81730H109,7438,175000,,
