name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
VALARIS LTD,G9460G101,953610,22576,,VAL-WT
COHERENT INC,192479103,168344,632348,,
CHANGE HEALTHCARE INC,15912K100,167447,7261367,,
SANDERSON FARMS INC,800013104,155192,720047,,
VMWARE INC,928563402,146006,1280977,,
SHAW COMMUNICATIONS INC,82028K200,141529,4803316,,
BLACK KNIGHT INC,09215C105,136792,2091935,,
LHC GROUP INC,50187A107,135575,870519,,
PNM RES INC,69349H107,128137,2681818,,
MANDIANT INC,562662106,112160,5140247,,
WELBILT INC,949090104,111991,4703516,,
CMC MATERIALS INC,12571T100,111125,636858,,
DUKE REALTY CORP,264411505,108849,1980867,,
ROGERS CORP,775133101,104583,399035,,ROG
CHURCHILL CAPITAL CORP VII,17144M201,103258,10483005,,
ACTIVISION BLIZZARD INC,00507V109,102023,1310343,,
FIRST HORIZON CORPORATION,320517105,99969,4573125,,FHN-PH
BOSTON SCIENTIFIC CORP,101137107,98062,2631114,,BSX
YAMANA GOLD INC,98462Y100,96300,20709773,,
MERITOR INC,59001K100,94701,2606688,,
BIOHAVEN PHARMACTL HLDG CO L,G11196105,86146,591216,,
GCP APPLIED TECHNOLOGIES INC,36164Y101,83822,2679721,,
AVANTOR INC,05352A100,79763,2564720,,
BAXTER INTL INC,071813109,79068,1231006,,
PLANTRONICS INC NEW,727493108,73161,1843765,,
GSK PLC,37733W105,70371,1616598,,GLAXF
TURNING POINT THERAPEUTICS I,90041T108,69499,923581,,
LABORATORY CORP AMER HLDGS,50540R409,66566,284031,,
KKR ACQUISITION HOLDING I CO,48253T208,62225,6298103,,
SIERRA ONCOLOGY INC,82640U404,60855,1106649,,
VONAGE HLDGS CORP,92886T201,60551,3213973,,
NOVO-NORDISK A S,670100205,53562,480676,,
ATOTECH LTD,G0625A105,47820,2471299,,
ELANCO ANIMAL HEALTH INC,28414H103,47282,2408666,,ELAN
MERCK & CO INC,58933Y105,46614,511284,,
TERMINIX GLOBAL HOLDINGS INC,81761R109,40402,993901,,
NEOPHOTONICS CORP,64051T100,38136,2424399,,
CONX CORP,212873202,35155,3543898,,
NRG ENERGY INC,629377CG5,35098,32438000,,
WARBURG PINCUS CAPTAL CORP I,G9460M116,34922,3548952,,
CIGNA CORP NEW,125523100,34034,129150,,
FORTRESS VALUE ACQUISI CORP,34964K207,33986,3482140,,
SMITH & NEPHEW PLC,83175M205,33572,1202437,,SNNUF
ALTC ACQUISITION CORP,02156V109,33014,3421097,,
NORTHERN STAR INVSTMNT CORP,66573W107,32159,3274882,CALL,
QUIDELORTHO CORP,219798105,31537,324518,,QDEL
CHURCHILL CAPITAL CORP VI,17143W200,30722,3119008,,
HUMANA INC,444859102,30290,64713,,HUM
NORTHERN STAR INVEST CORP II,66574L209,30138,3055010,,
NORTHERN STAR INVEST CORP IV,66575B200,30046,3055010,,
UNIVERSAL HLTH SVCS INC,913903100,29411,292033,,
ALGONQUIN PWR UTILS CORP,015857873,27962,640000,,
HENNESSY CAPITAL INVST CORP,42600H207,27618,2808101,,
HORIZON THERAPEUTICS PUB L,G46188101,27353,342941,,
SPIRIT AIRLS INC,848577102,27249,1143008,,
PRIME IMPACT ACQUISITION I,G61074111,26288,2650001,,PRIAF
PG&E CORP,69331C140,26060,272000,,PCG-PX
SCREAMING EAGLE ACQUISITN CO,G79407113,25928,2670200,,
EXECUTIVE NETWORK PARTNERING,30158L100,24375,2439976,,
CENTENE CORP DEL,15135B101,24360,287914,,CNC
E MERGE TECHNOLOGY ACQUISITI,26873Y104,24020,2404398,,
QUOTIENT LTD,749119103,24000,100000,,
UMPQUA HLDGS CORP,904214103,23690,1412652,,
ASCENDANT DIGITAL ACQ CORP I,G05157121,23568,2342700,,
FTAC HERA ACQUISITION CORP,G3728Y129,23189,2359000,,
COOPER COS INC,216648402,23120,73836,,
CONCORD ACQUISITION CORP II,20607U207,22804,2340102,,CNDAW
GLENFARNE MERGER CORP,378579205,22678,2261004,,
CHURCHILL CAPITAL CORP V,17144T206,22650,2281004,,
HEALTHWELL ACQUISITION CORP,42227R208,22532,2265700,,
ENPHYS ACQUISITION CORP,G3167L125,22485,2318000,,
INTERPRIVATE IV INFRATECH PR,46064T201,22248,2261005,,
PROOF ACQUISITION CORP I,74349W203,21954,2251700,,
VPC IMPACT ACQUISITION HLDG,G9460L126,21812,2225668,,
MULTIPLAN CORPORATION,62548M100,21775,3985957,,
CIIG CAPITAL PARTNERS II INC,12561U208,20485,2062950,,
MARRIOTT VACATIONS WORLDWIDE,57164YAD9,20169,22000000,,
FUTURE HEALTH ESG CORP,36118W102,20111,2071000,,
TAILWIND ACQUISITION CORP,87403Q102,19697,1979565,,
INTERPRIVATE II ACQUISITION,46064Q108,19624,2004460,,
CLARIVATE PLC,G21810208,19282,337500,,CLVT
VECTOR ACQUISITION CORP II,G9460A104,19255,1964802,,
GOOD WKS II ACQUISITION CORP,38216G104,19022,2267488,,
INTERPRIVATE III FINANCIAL P,46064R106,18953,1933950,,
TECH AND ENERGY TRANSITION,87823R201,18826,1921004,,
KHOSLA VENTURES ACQUT CO III,482506102,18618,1911489,,
ZILLOW GROUP INC,98954MAG6,18611,18474000,,
AHREN ACQUISITION CORP,G01322117,18530,1857600,,
WORLDWIDE WEBB ACQUISITION C,G97775129,18519,1876300,,
IX ACQUISITION CORP,G5000D129,18434,1875300,,IXQWF
OYSTER ENTERPRISES ACQ CORP,69242M203,18272,1855000,,
COMPASS DIGITAL ACQUISITN CO,G2476C115,18227,1876201,,
ALPHA PARTNERS TECH MERGR CO,G63290129,18223,1861402,,
BYTE ACQUISITION CORP,G1R25Q121,18136,1844001,,
PERIPHAS CAPITAL PARTNERING,713895209,18118,735000,,
CORAZON CAPITAL V838 MONOCER,G24237110,17864,1809005,,
TRISTAR ACQUISITION I CORP,G9074V122,17766,1798201,,
PIVOTAL INVESTMENT CORP III,72582M205,17728,1809005,,
SYNEOS HEALTH INC,87166B102,17644,246152,,
STRATIM CLOUD ACQUISITION CO,86309R206,17458,1786004,,
GOLDEN ARROW MERGER CORP,380799205,17449,1786004,,
CF ACQUISITION CORP IV,12520T201,17267,1753005,,
ENVISTA HOLDINGS CORPORATION,29415F104,17201,446310,,NVST
ROSS ACQUISITION CORP II,G7641C122,17196,1744002,,
PINE TECHNOLOGY ACQUISITN CO,722850104,17188,1759236,,
AGILE GROWTH CORP,G01202129,17152,1744005,,
MEDTRONIC PLC,G5960L103,16972,189103,,MDT
BROOGE ENERGY LTD,G1611B107,16720,2200000,,
II-VI INC,902104306,16692,77500,,
MEDTECH ACQUISITION CORP,58507N105,16645,1691520,,
USA TRUCK INC,902925106,16590,528012,,
COHN ROBBINS HOLDINGS CORP,G23726105,16555,1665511,,
AXONICS INC,05465P101,16543,291921,,
NEWHOLD INVESTMENT CORP II,651450207,16510,1666000,,
IQVIA HLDGS INC,46266C105,16208,74693,,
SHIFT4 PMTS INC,82452JAB5,16137,20000000,,
TWITTER INC,90184LAF9,15670,15943000,,
IONIS PHARMACEUTICALS INC,462222AD2,15322,16700000,,IONS
ABBVIE INC,00287Y109,15286,99804,,ABBV
SHELTER ACQUISITION CORP I,822821203,15210,1538700,,
AF ACQUISITION CORP,001040203,14893,1529005,,
PS BUSINESS PKS INC CALIF,69360J107,14853,79362,,
ENPHASE ENERGY INC,29355AAH0,14821,15000000,,
GX ACQUISITION CORP II,36260F204,14641,1494005,,
G&P ACQUISITION CORP,36146G202,14535,1450000,,
CATCHMARK TIMBER TR INC,14912Y202,14520,1443310,,
ZENDESK INC,98936J101,14385,194206,,
RBC BEARINGS INC,75524B203,14367,150000,,RBC
SCHULTZE SPL PURP ACQ CORP I,808212203,14259,1446100,,
ARMADA ACQUISITION CORP I,04208V103,14208,1442398,,
SPRINGWATER SPL SITUATIONS C,85205U206,14093,1404400,,
BUILD ACQUISITION CORP,12008J204,14061,1429005,,
PROPTECH INVESTMENT CORP II,743497109,13963,1414703,,
REVOLUTION HEALTHCAR AQ CORP,76155Y207,13953,1423008,,
ACCELERATE ACQUISITION CORP,00439D201,13822,1409003,,
DISH NETWORK CORPORATION,25470MAB5,13812,20500000,,
EXACT SCIENCES CORP,30063PAC9,13782,20000000,,
COVETRUS INC,22304C100,13768,663524,,
LEVERE HOLDINGS CORP,G5462L114,13711,1387004,,
M3 BRIGADE ACQUISITION II CO,553800103,13706,1397179,,
COLISEUM ACQUISITION CORP,G2263T115,13701,1401604,,
ADMA BIOLOGICS INC,000899104,13585,6860872,,
INDEPENDENCE HOLDINGS CORP,G4761A119,13549,1379005,,
LANDCADIA HOLDINGS IV INC,51477A203,13510,1380005,CALL,
STEVANATO GROUP S P A,T9224W109,13398,847435,,
ATLANTIC COASTAL ACQUISTN CO,048453104,13199,1349631,,
EVOLV TECHNOLOGIES HLDNGS IN,30049H102,13111,4928904,,
BENTLEY SYS INC,08265TAB5,13088,15000000,,
PROSPECTOR CAPITAL CORP,G7273A121,13042,1320000,,
SIERRA LAKE ACQUISITION CORP,826332207,13003,1308100,,
SANDBRIDGE X2 CORP,799792205,12995,1312004,,
AMERICAN CAMPUS CMNTYS INC,024835100,12972,201215,,
KADEM SUSTAINABLE IMPACT COR,48284E204,12968,1326000,,
AEA-BRIDGES IMPACT CORP,G01046104,12892,1299604,,
WARBURG PINCUS CAPTAL CORP I,G9461D123,12860,1286000,,
BLACKLINE INC,09239BAD1,12779,15996000,,
BATTERY FUTURE ACQUISITION C,G0888J116,12643,1266800,,
MANTECH INTERNATIONAL CORP,564563104,12577,131770,,
SWITCH INC,87105L104,12450,371638,,
ALARM COM HLDGS INC,011642AB1,12324,15000000,,
ROYAL CARIBBEAN GROUP,780153BF8,12264,13520000,,
LEAD EDGE GROWTH OPRTUNTS LT,G54085124,12260,1244000,,
PWP FORWARD ACQUISITION CORP,74709Q200,12247,1244005,,
SUNNOVA ENERGY INTL INC.,86745KAF1,12205,15500000,,
PLUM ACQUISITION CORP I,G7134L100,12204,1244005,,
ZIMVIE INC,98888T107,12168,760031,,
CARNEY TECHNOLOGY ACQU CORP,143636207,11971,1208004,,
CDK GLOBAL INC,12508E101,11794,215344,,
GO ACQUISITION CORP,362019200,11712,1173001,,
WAYFAIR INC,94419LAF8,11696,18000000,,W
JATT ACQUISITION CORP,G50752107,11689,1174736,,
ICON PLC,G4705A100,11512,53124,,ICLR
SENIOR CONNECT ACQUISITN COR,81723H207,10913,1109000,,
ANZU SPECIAL ACQUISITIN CORP,03737A200,10723,1092003,,
NATIONAL VISION HLDGS INC,63845RAB3,10677,9500000,,
CHARLES RIV LABS INTL INC,159864107,10518,49157,,
MISSION ADVANCEMENT CORP,60501L200,10434,1068005,,
COUPA SOFTWARE INC,22266LAC0,10413,12500000,,
INSIGHT ACQUISITION CORP,45784L209,10366,1046500,,
ETSY INC,29786AAL0,10364,13330000,,ETSY
JAWS MUSTANG ACQUISITION COR,G50737116,10117,1023000,,
DP CAP ACQUISITION CORP I,G2R05B118,10021,998600,,
LONGVIEW ACQUISITION CORP II,54319Q105,9972,1020726,,
CORNER GROWTH ACQUISITION CO,G2425N121,9959,1008004,,
TARGET GLOBAL ACQUISI I CORP,G8675N117,9933,996300,,
THERMO FISHER SCIENTIFIC INC,883556102,9844,18119,,TMO
NEWBURY STREET ACQUISITN COR,65101L203,9830,998000,,
TEVA PHARMACEUTICAL INDS LTD,881624209,9819,1305772,,
TRIBE CAPITAL GROWTH CORP I,89601Y200,9761,995000,,
EPIPHANY TECHNOLOGY ACQUISIT,29429X208,9742,989004,,
DA32 LIFE SCNCE TEC ACQSTN C,23312M106,9621,992890,,
ATHENA TECHNOLOGY ACQ CORP I,04687C204,9569,970500,,
WARRIOR TECHNOLOGIES ACQUI C,936273200,9452,948001,,
MAGNUM OPUS ACQUISITION LTD,G5S70A104,9408,960973,,
FAR PEAK ACQUISITION CORP,G3312L103,9395,956747,,
JACKSON ACQUISITION CO,46653C205,9371,946600,,
SAILPOINT TECHNOLOGIES HLDGS,78781P105,9323,148739,,
PEGASYSTEMS INC,705573AB9,9287,11500000,,PEGA
EQUITY DISTR ACQUISITION COR,29465E205,9283,933002,,
EVE MOBILITY ACQUISITION COR,G3218G125,9271,929000,,
VISHAY INTERTECHNOLOGY INC,928298AP3,9249,9762000,,VSH
MASON INDUSTRIAL TECHNOLGY I,57520Y205,9099,928002,,
GRAF ACQUISITION CORP IV,384272209,8955,919400,,
FIRST LT ACQUISITION GROUP I,320703200,8884,892000,,
CF ACQUISITION CORP VIII,12520C109,8778,868235,,
INSU ACQUISITION CORP III,457817302,8758,890002,,
HAWKS ACQUISITION CORP,42032P207,8703,886300,,
LUCID GROUP INC,549498953,8673,387800,,
M3 BRIGADE ACQUISITION III,55407R202,8655,864600,,
CONYERS PARK III ACQSITN COR,21289P201,8524,861900,,
MSD ACQUISITION CORP,G5709C117,8498,857504,,
LAZARD GROWTH ACQUISITION CO,G54035129,8167,830000,,
FTAC PARNASSUS ACQUISITN COR,30319B207,8092,812000,,
APOLLO STRATEGIC GRWT CPTL I,G0412A110,8037,815500,,
BLUESCAPE OPPORTUNITIES ACQU,G1195N121,8018,791152,,
ITRON INC,465741AN6,8013,10000000,,
OPTION CARE HEALTH INC,68404L201,7954,286234,,
ISLEWORTH HEALTHCARE ACQU CO,46468P102,7890,792119,,
PEGASUS DIGITAL MOBILITY ACQ,G69768128,7863,769400,,
7GC & CO HOLDINGS INC,81786A206,7857,790000,,
WINNEBAGO INDS INC,974637AB6,7733,7500000,,
ROCKET INTERNET GRWT OPRT CO,G7613T111,7722,786000,,
SUPERNOVA PARTN ACQ CO III L,G8T90F110,7703,786005,,
CARTESIAN GROWTH CORP,G19276107,7685,781784,,
NORTHERN GENESIS ACQU CORP I,66516W206,7593,772006,,
ROSECLIFF ACQUISITION CORP I,77732R103,7555,770110,,
PMV CONSUMER ACQUISITION COR,693486102,7537,759794,,
OKTA INC,679295AD7,7315,8250000,,
CLARIM ACQUISITION CORP,18049C207,7306,744001,,
NEW PROVIDENCE ACQSITN CORP,64823D201,7246,727902,,
TPG PACE BENEFICIAL II CORP,G89826104,7206,740625,,
WAYFAIR INC,94419LAD3,7173,9000000,,W
HENNESSY CAPITAL INVS CORP V,42589T107,7172,730378,,
NIELSEN HLDGS PLC,G6518L108,7162,308422,,
ARROWROOT ACQUISITION CORP,04282M201,7160,728002,,
SCION TECH GROWTH I,G31067120,7158,726004,,
CC NEUBERGER PRIN HLDGS II,G3166T103,7153,715972,,
TB SA ACQUISITION CORP,G8657L113,7152,729002,,
IBERE PHARMACEUTICALS,G46843127,7052,714500,,
CONCORD ACQUISITION CORP III,20607V205,7041,698810,,
DANAHER CORPORATION,235851102,7030,27729,,
