name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
LIBERTY GLOBAL LTD,G61188127,755252,42311011,,LBTYK
WILLIS TOWERS WATSON PLC LTD,G96629103,433225,1652648,,WTW
CRH PLC,G25508105,316911,4226602,,
FIDELITY NATL INFORMATION SV,31620M106,264457,3509254,,
CLARIVATE PLC,G21810109,221510,38929635,,CLVT
ALPHABET INC,02079K107,196184,1069588,,GOOGN
VIASAT INC,92552V100,174744,13759364,,VSAT
HUMANA INC,444859102,156933,420000,,HUM
JAZZ PHARMACEUTICALS PLC,G50871105,136000,1274248,,JAZZ
WESCO INTL INC,95082P105,127292,803000,,
LIBERTY GLOBAL LTD,G61188101,125396,7194276,,LBTYK
OUTBRAIN INC,69002RAB9,103267,118000000,,
SOLVENTUM CORP,83444M101,96242,1820000,,SOLV
WILLSCOT MOBIL MINI HLDNG CO,971378104,92971,2470000,,
EAGLE MATLS INC,26969P108,74394,342102,,
FORTREA HLDGS INC,34965K107,73296,3140360,,
JACOBS SOLUTIONS INC,46982L108,69047,494218,,J
HERBALIFE LTD,G4412G101,53244,5124526,,HLF
GDS HLDGS LTD,36165L108,39482,4249952,,
THERAVANCE BIOPHARMA INC,G8807B106,35616,4200021,,
CAPRI HOLDINGS LIMITED,G1890L107,33080,1000000,,
LIBERTY MEDIA CORP DEL,531229789,23459,1058616,,FWONB
VERISIGN INC,92343E102,18805,105764,,
LIBERTY MEDIA CORP DEL,531229813,13294,600194,,FWONB
