week,signal_date,exec_date,n_ranked,n_long,n_short,mean_long,mean_short,factor_return
2020-06-08/2020-06-14,2020-06-12,2020-06-15,481,49,49,0.044805611178699106,0.043013582875501145,0.0017920283031979609
2020-06-15/2020-06-21,2020-06-19,2020-06-22,481,49,49,-0.022035293239786678,-0.034779186470108,0.01274389323032132
2020-06-22/2020-06-28,2020-06-26,2020-06-29,481,49,49,0.05000912631618177,0.053712463040840354,-0.0037033367246585847
2020-06-29/2020-07-05,2020-07-02,2020-07-06,481,49,49,-0.006955674073718597,-0.015367663460330173,0.008411989386611576
2020-07-06/2020-07-12,2020-07-10,2020-07-13,481,49,49,0.02786457545508266,0.024476200448860997,0.0033883750062216646
2020-07-13/2020-07-19,2020-07-17,2020-07-20,481,49,49,0.00751583326395148,-0.006458073743256456,0.013973907007207936
2020-07-20/2020-07-26,2020-07-24,2020-07-27,481,49,49,0.008584095470937043,-0.007960018038628431,0.016544113509565472
2020-07-27/2020-08-02,2020-07-31,2020-08-03,481,49,49,0.01422298920958322,0.0641423079357028,-0.049919318726119585
2020-08-03/2020-08-09,2020-08-07,2020-08-10,481,49,49,0.011158955489036934,0.010143525675830411,0.001015429813206523
2020-08-10/2020-08-16,2020-08-14,2020-08-17,481,49,49,0.0007967739983841158,-0.010494984372094365,0.01129175837047848
2020-08-17/2020-08-23,2020-08-21,2020-08-24,481,49,49,0.010895199765889686,0.019342503628535998,-0.008447303862646312
2020-08-24/2020-08-30,2020-08-28,2020-08-31,481,49,49,-0.0386141517676241,-0.021565178086485625,-0.017048973681138477
2020-08-31/2020-09-06,2020-09-04,2020-09-08,481,49,49,0.00941790289905645,-0.0008764986672329593,0.01029440156628941
2020-09-07/2020-09-13,2020-09-11,2020-09-14,481,49,49,-0.008728023902427428,-0.02994582378004824,0.021217799877620812
2020-09-14/2020-09-20,2020-09-18,2020-09-21,481,49,49,0.027362591532167545,-0.002528064338335473,0.02989065587050302
2020-09-21/2020-09-27,2020-09-25,2020-09-28,481,49,49,0.015518769536702616,0.018647479946209623,-0.0031287104095070063
2020-09-28/2020-10-04,2020-10-02,2020-10-05,481,49,49,0.05333337593688863,0.04672626463678281,0.006607111300105821
2020-10-05/2020-10-11,2020-10-09,2020-10-12,481,49,49,0.004820592951451813,-0.001242555045551694,0.006063147997003506
2020-10-12/2020-10-18,2020-10-16,2020-10-19,481,49,49,-0.021321632563922735,0.004448901762181438,-0.025770534326104173
2020-10-19/2020-10-25,2020-10-23,2020-10-26,481,49,49,-0.0360647889874611,-0.02714620377872314,-0.00891858520873796
2020-10-26/2020-11-01,2020-10-30,2020-11-02,481,49,49,0.0919221855302166,0.10865974509015153,-0.01673755955993493
2020-11-02/2020-11-08,2020-11-06,2020-11-09,481,49,49,-0.017576123022958,0.04858285159362165,-0.06615897461657964
2020-11-09/2020-11-15,2020-11-13,2020-11-16,481,49,49,0.015449943927418684,-0.009267655556560703,0.024717599483979388
2020-11-16/2020-11-22,2020-11-20,2020-11-23,481,49,49,0.02808452925810264,0.01850839575012318,0.009576133507979461
2020-11-23/2020-11-29,2020-11-27,2020-11-30,481,49,49,0.004584268257037981,0.03089794478908508,-0.0263136765320471
2020-11-30/2020-12-06,2020-12-04,2020-12-07,481,49,49,-0.0016418547041194582,0.01709152418129338,-0.01873337888541284
2020-12-07/2020-12-13,2020-12-11,2020-12-14,481,49,49,0.016849740310420632,-0.07045565653222258,0.08730539684264321
2020-12-14/2020-12-20,2020-12-18,2020-12-21,481,49,49,0.019761340106174478,0.02660694916443312,-0.0068456090582586435
2020-12-21/2020-12-27,2020-12-24,2020-12-28,481,49,49,-0.0034002517208956847,0.01475856916933031,-0.018158820890225993
2020-12-28/2021-01-03,2020-12-31,2021-01-04,481,49,49,0.01870319938064537,0.01979430309370048,-0.001091103713055111
2021-01-04/2021-01-10,2021-01-08,2021-01-11,481,49,49,0.02984317569314085,0.04835398387624673,-0.01851080818310588
