ticker,rows,missing_bars,missing_frac,last_close
UBER,1821,89,0.0466,75.02
DOW,1857,53,0.0277,29.34
FOX,1862,48,0.0251,57.03
FOXA,1863,47,0.0246,64.03
PNW,1907,3,0.0016,101.03
VMC,1907,3,0.0016,284.16
RL,1907,3,0.0016,395.53
WST,1907,3,0.0016,354.07
AZO,1907,3,0.0016,3127.29
PSA,1907,3,0.0016,328.4
PNR,1907,3,0.0016,68.89
L,1907,3,0.0016,115.53
LYV,1907,3,0.0016,180.66
HAS,1907,3,0.0016,93.52
MGM,1907,3,0.0016,44.47
CDW,1907,3,0.0016,135.81
CHD,1907,3,0.0016,103.24
DD,1907,3,0.0016,142.47
DOV,1907,3,0.0016,211.13
DVA,1907,3,0.0016,183.77
ERIE,1907,3,0.0016,252.58
EXPD,1907,3,0.0016,178.71
ADSK,1907,3,0.0016,249.08
WTW,1907,3,0.0016,344.82
WEC,1908,2,0.001,107.63
TJX,1908,2,0.001,160.85
FITB,1908,2,0.001,57.09
NTAP,1908,2,0.001,189.52
NRG,1908,2,0.001,118.13
NDAQ,1908,2,0.001,94.59
MET,1908,2,0.001,97.77
NWSA,1908,2,0.001,28.52
HRL,1908,2,0.001,25.02
ICE,1908,2,0.001,150.3
OKE,1908,2,0.001,86.42
CI,1908,2,0.001,282.49
BAX,1908,2,0.001,27.55
XYZ,1908,2,0.001,79.0
A,1908,2,0.001,145.97
BNY,1909,1,0.0005,157.61
ZTS,1909,1,0.0005,72.66
BMY,1909,1,0.0005,64.72
FISV,1909,1,0.0005,52.41
FAST,1909,1,0.0005,51.84
DG,1909,1,0.0005,126.59
CL,1909,1,0.0005,93.27
KDP,1909,1,0.0005,30.01
FDX,1909,1,0.0005,318.57
KR,1909,1,0.0005,56.73
LUV,1909,1,0.0005,47.05
PCAR,1909,1,0.0005,132.76
ROL,1909,1,0.0005,37.56
ADBE,1910,0,0.0,265.21
ADI,1910,0,0.0,389.93
ADM,1910,0,0.0,76.59
ADP,1910,0,0.0,271.32
AEE,1910,0,0.0,108.84
AIZ,1910,0,0.0,289.55
YUM,1910,0,0.0,150.76
XYL,1910,0,0.0,120.32
XOM,1910,0,0.0,153.04
XEL,1910,0,0.0,78.07
WYNN,1910,0,0.0,102.54
WY,1910,0,0.0,25.58
WSM,1910,0,0.0,251.78
WRB,1910,0,0.0,71.6
WMT,1910,0,0.0,111.85
WMB,1910,0,0.0,70.4
WM,1910,0,0.0,227.68
AIG,1910,0,0.0,78.78
AFL,1910,0,0.0,124.61
AES,1910,0,0.0,14.73
VRSK,1910,0,0.0,191.82
BLK,1910,0,0.0,1136.39
BLDR,1910,0,0.0,74.69
BKR,1910,0,0.0,61.55
BKNG,1910,0,0.0,214.42
BIIB,1910,0,0.0,207.94
BG,1910,0,0.0,108.38
BF-B,1910,0,0.0,28.52
BEN,1910,0,0.0,33.77
BDX,1910,0,0.0,176.86
BBY,1910,0,0.0,82.0
BALL,1910,0,0.0,63.45
BAC,1910,0,0.0,63.17
BA,1910,0,0.0,234.42
ZBRA,1910,0,0.0,376.49
CDNS,1910,0,0.0,339.24
CCL,1910,0,0.0,28.99
CCI,1910,0,0.0,75.59
CBRE,1910,0,0.0,148.18
CBOE,1910,0,0.0,286.58
CB,1910,0,0.0,350.31
CAT,1910,0,0.0,842.19
CASY,1910,0,0.0,833.95
CAH,1910,0,0.0,236.4
C,1910,0,0.0,135.0
BXP,1910,0,0.0,69.71
BX,1910,0,0.0,137.13
BSX,1910,0,0.0,49.31
BRO,1910,0,0.0,71.27
BRK-B,1910,0,0.0,521.8
BR,1910,0,0.0,166.5
COF,1910,0,0.0,217.76
CNP,1910,0,0.0,40.68
CNC,1910,0,0.0,65.77
CMS,1910,0,0.0,71.03
CMI,1910,0,0.0,644.26
CMG,1910,0,0.0,32.79
CME,1910,0,0.0,263.66
CMCSA,1910,0,0.0,25.36
CLX,1910,0,0.0,103.94
CINF,1910,0,0.0,176.86
CIEN,1910,0,0.0,412.39
CHTR,1910,0,0.0,152.57
CHRW,1910,0,0.0,149.35
CFG,1910,0,0.0,72.67
