ticker,rows,missing_bars,missing_frac,last_close
CF,1910,0,0.0,114.35
CTSH,1910,0,0.0,57.67
CTAS,1910,0,0.0,203.05
CSX,1910,0,0.0,50.27
CSGP,1910,0,0.0,30.24
CSCO,1910,0,0.0,121.43
CRM,1910,0,0.0,192.74
CRL,1910,0,0.0,267.49
CRH,1910,0,0.0,100.48
CPT,1910,0,0.0,111.93
CPRT,1910,0,0.0,29.66
CPAY,1910,0,0.0,392.94
COST,1910,0,0.0,947.82
COR,1910,0,0.0,320.46
COP,1910,0,0.0,117.61
COO,1910,0,0.0,74.23
COHR,1910,0,0.0,379.13
DOC,1910,0,0.0,21.41
DLTR,1910,0,0.0,130.9
DLR,1910,0,0.0,193.8
DIS,1910,0,0.0,104.91
DHR,1910,0,0.0,204.76
DHI,1910,0,0.0,151.08
DGX,1910,0,0.0,238.35
DELL,1910,0,0.0,453.77
DECK,1910,0,0.0,97.46
DE,1910,0,0.0,620.83
DAL,1910,0,0.0,91.34
D,1910,0,0.0,67.39
CVX,1910,0,0.0,186.56
CVS,1910,0,0.0,95.7
CVNA,1910,0,0.0,70.85
EME,1910,0,0.0,816.9
ELV,1910,0,0.0,394.2
EL,1910,0,0.0,88.35
EIX,1910,0,0.0,68.62
EG,1910,0,0.0,374.96
EFX,1910,0,0.0,182.56
ED,1910,0,0.0,107.98
ECL,1910,0,0.0,285.17
ECHO,1910,0,0.0,90.04
EBAY,1910,0,0.0,111.98
DXCM,1910,0,0.0,84.75
DVN,1910,0,0.0,42.98
DUK,1910,0,0.0,124.85
DTE,1910,0,0.0,139.87
DRI,1910,0,0.0,213.76
DPZ,1910,0,0.0,350.95
FANG,1910,0,0.0,187.01
F,1910,0,0.0,13.83
EXR,1910,0,0.0,149.54
EXPE,1910,0,0.0,310.68
EXC,1910,0,0.0,45.61
EW,1910,0,0.0,89.72
EVRG,1910,0,0.0,83.38
ETR,1910,0,0.0,106.54
ETN,1910,0,0.0,448.68
ESS,1910,0,0.0,288.1
ES,1910,0,0.0,72.33
EQT,1910,0,0.0,51.69
EQR,1910,0,0.0,67.07
EQIX,1910,0,0.0,1042.62
EOG,1910,0,0.0,134.74
EMR,1910,0,0.0,158.26
FTV,1910,0,0.0,61.71
FTNT,1910,0,0.0,159.64
FSLR,1910,0,0.0,250.05
FRT,1910,0,0.0,118.69
FLEX,1910,0,0.0,121.35
FIX,1910,0,0.0,1693.67
FIS,1910,0,0.0,42.77
FICO,1910,0,0.0,1041.4
FFIV,1910,0,0.0,400.23
FERG,1910,0,0.0,256.69
FE,1910,0,0.0,47.47
FDS,1910,0,0.0,285.57
FCX,1910,0,0.0,69.62
GS,1910,0,0.0,1039.61
GRMN,1910,0,0.0,310.89
GPN,1910,0,0.0,86.12
GPC,1910,0,0.0,135.63
GOOGL,1910,0,0.0,354.3
GOOG,1910,0,0.0,353.47
GNRC,1910,0,0.0,212.22
GM,1910,0,0.0,87.58
GLW,1910,0,0.0,165.68
GL,1910,0,0.0,183.85
GIS,1910,0,0.0,36.89
GILD,1910,0,0.0,133.21
GEN,1910,0,0.0,29.17
GE,1910,0,0.0,370.08
GDDY,1910,0,0.0,91.07
GD,1910,0,0.0,392.05
HUM,1910,0,0.0,385.0
HUBB,1910,0,0.0,513.99
HSY,1910,0,0.0,182.35
HST,1910,0,0.0,23.29
HSIC,1910,0,0.0,88.13
HPQ,1910,0,0.0,30.05
HPE,1910,0,0.0,53.22
HON,1910,0,0.0,246.21
HLT,1910,0,0.0,317.6
HII,1910,0,0.0,324.48
HIG,1910,0,0.0,143.28
HD,1910,0,0.0,355.62
HCA,1910,0,0.0,413.36
HBAN,1910,0,0.0,17.55
HAL,1910,0,0.0,31.89
GWW,1910,0,0.0,1275.06
IT,1910,0,0.0,185.6
ISRG,1910,0,0.0,378.81
IRM,1910,0,0.0,121.15
IR,1910,0,0.0,86.95
IQV,1910,0,0.0,238.7
IP,1910,0,0.0,41.58
INVH,1910,0,0.0,30.37
INTU,1910,0,0.0,325.25
INTC,1910,0,0.0,101.65
INCY,1910,0,0.0,120.56
IFF,1910,0,0.0,85.89
IEX,1910,0,0.0,234.46
IDXX,1910,0,0.0,586.67
IBM,1910,0,0.0,235.59
IBKR,1910,0,0.0,87.83
HWM,1910,0,0.0,281.88
KLAC,1910,0,0.0,198.11
KKR,1910,0,0.0,102.61
KIM,1910,0,0.0,24.46
KHC,1910,0,0.0,25.32
KEYS,1910,0,0.0,340.97
KEY,1910,0,0.0,22.73
JPM,1910,0,0.0,357.52
JNJ,1910,0,0.0,259.24
JKHY,1910,0,0.0,155.95
JCI,1910,0,0.0,152.21
JBL,1910,0,0.0,341.22
JBHT,1910,0,0.0,268.52
J,1910,0,0.0,145.07
IVZ,1910,0,0.0,31.58
ITW,1910,0,0.0,296.66
AXP,1910,0,0.0,340.91
AXON,1910,0,0.0,571.01
AWK,1910,0,0.0,134.42
AVY,1910,0,0.0,177.18
AVGO,1910,0,0.0,427.76
AVB,1910,0,0.0,187.55
ATO,1910,0,0.0,170.19
ARES,1910,0,0.0,136.85
ARE,1910,0,0.0,49.74
APTV,1910,0,0.0,49.55
APO,1910,0,0.0,127.44
APH,1910,0,0.0,169.18
APD,1910,0,0.0,303.44
APA,1910,0,0.0,37.63
AOS,1910,0,0.0,63.98
AON,1910,0,0.0,358.3
LRCX,1910,0,0.0,311.35
LOW,1910,0,0.0,223.35
LNT,1910,0,0.0,69.37
LMT,1910,0,0.0,587.95
LLY,1910,0,0.0,1185.71
LITE,1910,0,0.0,890.17
LIN,1910,0,0.0,489.98
LII,1910,0,0.0,439.77
LHX,1910,0,0.0,286.67
LH,1910,0,0.0,319.17
LEN,1910,0,0.0,88.18
LDOS,1910,0,0.0,137.57
ABBV,1910,0,0.0,246.04
KO,1910,0,0.0,87.05
KMI,1910,0,0.0,30.85
KMB,1910,0,0.0,109.68
MKC,1910,0,0.0,52.96
META,1910,0,0.0,592.1
MDT,1910,0,0.0,87.16
MDLZ,1910,0,0.0,62.61
MCO,1910,0,0.0,477.75
MCK,1910,0,0.0,869.58
MCHP,1910,0,0.0,84.69
MCD,1910,0,0.0,274.48
MAS,1910,0,0.0,77.51
MAR,1910,0,0.0,353.91
MAA,1910,0,0.0,134.96
MA,1910,0,0.0,562.95
LYB,1910,0,0.0,59.59
LVS,1910,0,0.0,45.77
ABT,1910,0,0.0,107.81
LULU,1910,0,0.0,128.58
MTB,1910,0,0.0,250.45
MSI,1910,0,0.0,467.55
MSFT,1910,0,0.0,499.99
MSCI,1910,0,0.0,563.17
MS,1910,0,0.0,216.33
MRVL,1910,0,0.0,218.72
MRSH,1910,0,0.0,191.65
MRNA,1910,0,0.0,59.17
MRK,1910,0,0.0,128.58
MPWR,1910,0,0.0,1401.54
MPC,1910,0,0.0,298.2
MOS,1910,0,0.0,23.06
MO,1910,0,0.0,68.35
MNST,1910,0,0.0,90.36
MMM,1910,0,0.0,182.9
MLM,1910,0,0.0,548.57
NVR,1910,0,0.0,6390.14
NVDA,1910,0,0.0,223.96
NUE,1910,0,0.0,272.63
NTRS,1910,0,0.0,185.5
NSC,1910,0,0.0,334.36
NOW,1910,0,0.0,124.88
NOC,1910,0,0.0,571.58
NKE,1910,0,0.0,41.7
NI,1910,0,0.0,42.61
NFLX,1910,0,0.0,74.14
NEM,1910,0,0.0,112.98
NEE,1910,0,0.0,84.65
NDSN,1910,0,0.0,310.11
NCLH,1910,0,0.0,19.25
MU,1910,0,0.0,877.57
MTD,1910,0,0.0,1429.46
PFE,1910,0,0.0,26.76
PEP,1910,0,0.0,139.02
PEG,1910,0,0.0,75.66
PCG,1910,0,0.0,17.46
ACGL,1910,0,0.0,98.48
PAYX,1910,0,0.0,120.04
PANW,1910,0,0.0,363.86
OXY,1910,0,0.0,55.91
ORLY,1910,0,0.0,93.53
ORCL,1910,0,0.0,147.02
ON,1910,0,0.0,81.17
OMC,1910,0,0.0,85.24
ODFL,1910,0,0.0,216.36
O,1910,0,0.0,62.51
NXPI,1910,0,0.0,239.71
NWS,1910,0,0.0,32.45
PTC,1910,0,0.0,147.71
PSX,1910,0,0.0,203.91
PSKY,1910,0,0.0,9.19
PRU,1910,0,0.0,121.28
PPL,1910,0,0.0,35.46
PPG,1910,0,0.0,118.98
PODD,1910,0,0.0,141.17
PNC,1910,0,0.0,252.56
PM,1910,0,0.0,189.57
PLD,1910,0,0.0,140.16
PKG,1910,0,0.0,256.04
PHM,1910,0,0.0,132.9
PH,1910,0,0.0,1073.87
PGR,1910,0,0.0,215.33
PG,1910,0,0.0,145.79
PFG,1910,0,0.0,113.4
RVTY,1910,0,0.0,114.66
RTX,1910,0,0.0,223.03
RSG,1910,0,0.0,214.56
ROST,1910,0,0.0,255.23
ROP,1910,0,0.0,402.25
ACN,1910,0,0.0,175.72
ROK,1910,0,0.0,441.04
RMD,1910,0,0.0,211.94
RJF,1910,0,0.0,176.56
RF,1910,0,0.0,31.43
REGN,1910,0,0.0,784.36
REG,1910,0,0.0,77.12
RCL,1910,0,0.0,320.0
QCOM,1910,0,0.0,167.86
PYPL,1910,0,0.0,59.07
PWR,1910,0,0.0,671.86
STT,1910,0,0.0,184.68
STLD,1910,0,0.0,262.45
STE,1910,0,0.0,237.47
SRE,1910,0,0.0,83.88
SPGI,1910,0,0.0,408.19
SPG,1910,0,0.0,222.91
SO,1910,0,0.0,92.69
SNPS,1910,0,0.0,415.99
SNA,1910,0,0.0,416.35
SMCI,1910,0,0.0,31.13
SLB,1910,0,0.0,50.53
SJM,1910,0,0.0,120.16
SHW,1910,0,0.0,369.73
SCHW,1910,0,0.0,107.6
SBUX,1910,0,0.0,105.58
SBAC,1910,0,0.0,184.03
TFC,1910,0,0.0,52.35
TER,1910,0,0.0,379.31
TEL,1910,0,0.0,216.33
TECH,1910,0,0.0,72.29
TDY,1910,0,0.0,691.3
TDG,1910,0,0.0,1225.25
TAP,1910,0,0.0,43.37
T,1910,0,0.0,23.79
SYY,1910,0,0.0,84.29
SYK,1910,0,0.0,339.03
SYF,1910,0,0.0,78.59
SWKS,1910,0,0.0,70.62
SWK,1910,0,0.0,103.89
SW,1910,0,0.0,48.28
STZ,1910,0,0.0,135.76
STX,1910,0,0.0,812.76
TTWO,1910,0,0.0,246.5
TTD,1910,0,0.0,13.8
TT,1910,0,0.0,482.31
TSN,1910,0,0.0,58.04
TSLA,1910,0,0.0,328.58
TSCO,1910,0,0.0,34.56
TRV,1910,0,0.0,384.31
TROW,1910,0,0.0,114.02
TRMB,1910,0,0.0,59.51
TRGP,1910,0,0.0,256.87
TPR,1910,0,0.0,162.36
TPL,1910,0,0.0,340.65
TMUS,1910,0,0.0,177.19
TMO,1910,0,0.0,594.0
TKO,1910,0,0.0,186.56
TGT,1910,0,0.0,148.56
VLO,1910,0,0.0,298.31
VICI,1910,0,0.0,26.74
VEEV,1910,0,0.0,230.47
V,1910,0,0.0,361.83
USB,1910,0,0.0,63.94
URI,1910,0,0.0,1160.84
UPS,1910,0,0.0,104.5
UNP,1910,0,0.0,293.13
UNH,1910,0,0.0,407.08
ULTA,1910,0,0.0,565.15
UHS,1910,0,0.0,173.54
UDR,1910,0,0.0,38.41
UAL,1910,0,0.0,129.56
TYL,1910,0,0.0,312.45
TXT,1910,0,0.0,89.43
TXN,1910,0,0.0,286.08
ZBH,1910,0,0.0,96.55
AMZN,1910,0,0.0,274.48
AMT,1910,0,0.0,172.54
AMP,1910,0,0.0,551.98
AMGN,1910,0,0.0,410.95
AME,1910,0,0.0,253.66
AMD,1910,0,0.0,483.36
AMCR,1910,0,0.0,47.86
AMAT,1910,0,0.0,539.14
ALLE,1910,0,0.0,168.94
ALL,1910,0,0.0,267.0
ALGN,1910,0,0.0,173.66
ALB,1910,0,0.0,131.11
AKAM,1910,0,0.0,110.54
AJG,1910,0,0.0,248.12
AEP,1910,0,0.0,124.78
ANET,1910,0,0.0,188.67
WFC,1910,0,0.0,87.25
WELL,1910,0,0.0,236.03
WDC,1910,0,0.0,434.3
WDAY,1910,0,0.0,179.64
WBD,1910,0,0.0,26.78
WAT,1910,0,0.0,406.86
WAB,1910,0,0.0,291.81
VZ,1910,0,0.0,47.06
VTRS,1910,0,0.0,16.43
VTR,1910,0,0.0,93.36
VST,1910,0,0.0,140.59
VRTX,1910,0,0.0,496.07
VRT,1910,0,0.0,272.4
VRSN,1910,0,0.0,294.56
AAPL,1910,0,0.0,313.06
