,us_momentum_top5,spy_sma200,spy_rsi2,btc_vol_target_sma100,dual_momentum
2021-09-30,0.006445,-0.048241,-0.011481,0.000000,0.000000
2021-10-31,0.020615,0.067311,0.027231,0.000000,0.000000
2021-11-30,0.020294,-0.013796,-0.006274,0.000000,0.000000
2021-12-31,0.010731,0.032481,0.012685,0.000000,0.000000
2022-01-31,-0.020714,-0.052919,-0.026450,0.000000,0.000000
2022-02-28,0.014028,-0.032378,-0.016059,0.000000,0.000000
2022-03-31,0.035142,0.032312,0.013272,0.000000,0.000000
2022-04-30,0.001601,-0.088627,-0.028058,0.000000,0.000000
2022-05-31,0.008576,-0.005556,-0.021477,0.000000,0.000000
2022-06-30,-0.024025,-0.086182,-0.028108,0.000000,0.000000
2022-07-31,0.031750,0.088590,0.035406,0.000000,0.000000
2022-08-31,0.007961,-0.036742,-0.012504,0.000000,0.000000
2022-09-30,-0.018118,-0.093476,-0.029321,0.000000,0.000000
2022-10-31,0.018284,0.071565,0.026254,0.000000,0.000000
2022-11-30,0.024059,0.046370,0.017737,0.000000,0.000000
2022-12-31,0.011104,-0.057671,-0.013985,0.000000,0.000000
2023-01-31,0.066678,0.064748,0.019315,0.000000,0.000000
2023-02-28,0.014516,-0.028384,-0.007194,0.000000,0.000000
2023-03-31,0.032012,0.034321,0.010747,0.000000,0.000000
2023-04-30,0.030008,0.017281,0.004278,0.000000,0.000000
2023-05-31,0.011941,0.003155,0.002023,0.000000,0.000000
2023-06-30,0.037282,0.055172,0.017782,0.000000,0.000000
2023-07-31,0.056774,0.034891,0.012636,0.000000,0.000000
2023-08-31,0.026547,-0.020998,-0.008228,0.000000,0.000000
2023-09-30,0.011632,-0.049983,-0.016524,0.000000,0.000000
2023-10-31,0.047990,0.000000,0.002159,0.000000,0.000000
2023-11-30,0.026443,0.086402,0.027881,0.000000,0.000000
2023-12-31,0.050796,0.046608,0.018197,0.000000,0.000000
2024-01-31,0.036714,0.017156,0.005217,0.000000,0.000000
2024-02-29,0.061005,0.031531,0.010125,0.000000,0.000000
2024-03-31,0.016051,0.035988,0.011044,0.000000,0.000000
2024-04-30,0.027816,-0.043897,-0.014594,0.000000,0.000000
2024-05-31,0.024772,0.047305,0.014275,0.000000,0.000000
2024-06-30,0.017060,0.034720,0.009761,0.000000,0.000000
2024-07-31,0.008815,0.016921,0.004778,0.000000,0.000000
2024-08-31,0.018837,0.014306,0.003689,0.000000,0.000000
2024-09-30,0.012105,0.018609,0.005086,0.000000,0.000000
2024-10-31,0.006189,-0.009613,-0.003149,0.000000,0.000000
2024-11-30,0.032865,0.056781,0.015603,0.000000,0.000000
2024-12-31,0.017200,-0.018043,-0.005509,0.000000,0.000000
2025-01-31,0.000000,0.027476,0.007730,0.000000,0.000000
2025-02-28,0.000000,-0.013118,-0.006331,0.000000,0.000000
2025-03-31,0.000000,-0.056940,-0.019039,0.000000,0.000000
2025-04-30,0.000000,0.043656,0.009694,0.000000,0.000000
2025-05-31,0.000000,0.052887,0.014622,0.000000,0.000000
2025-06-30,0.000000,0.010547,0.001987,0.000000,0.000000
2025-07-31,0.000000,0.044597,0.011332,0.000000,0.000000
2025-08-31,0.000000,0.018024,0.005452,0.000000,0.000000
2025-09-30,0.000000,-0.036083,-0.010494,0.000000,0.000000
2025-10-31,0.000000,0.027436,0.008579,0.000000,0.000000
2025-11-30,0.000000,0.015633,0.004786,0.000000,0.000000
2025-12-31,0.000000,0.005230,0.001504,0.000000,0.000000
2026-01-31,0.000000,0.012383,0.003306,0.000000,0.000000
2026-02-28,0.000000,0.021125,0.006595,0.000000,0.000000
2026-03-31,0.000000,0.004745,0.001425,0.000000,0.000000
2026-04-30,0.000000,0.024712,0.007493,0.000000,0.000000
2026-05-31,0.000000,0.016842,0.005104,0.000000,0.000000
2026-06-30,0.183081,-0.010293,0.000386,-0.093966,-0.011484
2026-07-31,-0.221671,0.000348,0.021807,0.000032,-0.065675
2026-08-31,0.092314,0.039235,0.008709,0.000002,0.016729
